row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,
Chi phí hoa hồng môi giới,Chi phí bán hàng > Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,268.504,611.899,268504.0,611899.0
Chi phí quảng cáo,Chi phí bán hàng > Chi phí quảng cáo,Chi phí quảng cáo,40.726,60.106,40726.0,60106.0
Chi phí bán hàng khác,Chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,12.719,17.180,12719.0,17180.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,321.949,689.185,321949.0,689185.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,
Chi phí từ thiện,Chi phí quản lý doanh nghiệp > Chi phí từ thiện,Chi phí từ thiện,830.690,140.811,830690.0,140811.0
Trích lập/(hoàn nhập) các khoản dự phòng phải thu (i),Chi phí quản lý doanh nghiệp > Trích lập/(hoàn nhập) các khoản dự phòng phải thu (i),Trích lập/(hoàn nhập) các khoản dự phòng phải thu (i),1.827.273,(234.089),1827273.0,-234089.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,369.337,234.611,369337.0,234611.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,3.027.300,141.333,3027300.0,141333.0
