row_label_raw,row_label_full,Năm trước > Số đầu năm,Vốn cổ phần đã phát hành > Năm trước > 26.377.080,Thặng dư vốn cổ phần > Năm trước > 13.920.405,Quỹ khác thuộc vốn chủ sở hữu > Năm trước > 36.000,Lợi nhuận sau thuế chưa phân phối > Năm trước > 2.865.305,Đơn vị tính: triệu VND > Năm trước > 43.198.790,numeric__Vốn cổ phần đã phát hành > Năm trước > 26.377.080,numeric__Thặng dư vốn cổ phần > Năm trước > 13.920.405,numeric__Quỹ khác thuộc vốn chủ sở hữu > Năm trước > 36.000,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 2.865.305,numeric__Đơn vị tính: triệu VND > Năm trước > 43.198.790
- Trích quỹ khác,- Trích quỹ khác,- Trích quỹ khác,-,-,5.000,(5.000),-,,,5000.0,-5000.0,
- Phát hành cổ phiếu ưu đãi,- Phát hành cổ phiếu ưu đãi,- Phát hành cổ phiếu ưu đãi,840.000,8.276.981,-,-,9.116.981,840000.0,8276981.0,,,9116981.0
- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,5.539.132,-,-,(5.539.132),-,5539132.0,,,-5539132.0,
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,3.545.273,3.545.273,,,,3545273.0,3545273.0
Số cuối năm,Số cuối năm,Số cuối năm,32.756.212,22.197.386,41.000,866.446,55.861.044,32756212.0,22197386.0,41000.0,866446.0,55861044.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,32.756.212,22.197.386,41.000,866.446,55.861.044,32756212.0,22197386.0,41000.0,866446.0,55861044.0
- Trích quỹ khác,Năm nay > - Trích quỹ khác,- Trích quỹ khác,-,-,5.000,(5.000),-,,,5000.0,-5000.0,
- Phát hành cổ phiếu (*),Năm nay > - Phát hành cổ phiếu (*),- Phát hành cổ phiếu (*),1.543.142,15.515.091,-,-,17.058.233,1543142.0,15515091.0,,,17058233.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,4.323.229,4.323.229,,,,4323229.0,4323229.0
- Chuyển đổi cổ phiếu ưu đãi sang cổ phiếu phổ thông (**),Năm nay > - Chuyển đổi cổ phiếu ưu đãi sang cổ phiếu phổ thông (**),- Chuyển đổi cổ phiếu ưu đãi sang cổ phiếu phổ thông (**),9.786,(9.786),-,-,-,9786.0,-9786.0,,,
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,34.309.140,37.702.691,46.000,5.184.675,77.242.506,34309140.0,37702691.0,46000.0,5184675.0,77242506.0
