row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Ngắn hạn > Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,62.247,190.071,62247.0,190071.0
Chi phí thuế thu nhập doanh nghiệp tạm nộp,Ngắn hạn > Chi phí thuế thu nhập doanh nghiệp tạm nộp,Chi phí thuế thu nhập doanh nghiệp tạm nộp,27.800,43.934,27800.0,43934.0
Chi phí bản quyền phần mềm,Ngắn hạn > Chi phí bản quyền phần mềm,Chi phí bản quyền phần mềm,15.512,15.609,15512.0,15609.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,27.165,34.409,27165.0,34409.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,132.724,284.023,132724.0,284023.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Chi phí thuê đất trả trước,Dải hạn > Chi phí thuê đất trả trước,Chi phí thuê đất trả trước,676.359,716.694,676359.0,716694.0
Chi phí giải phóng mặt bằng,Dải hạn > Chi phí giải phóng mặt bằng,Chi phí giải phóng mặt bằng,499.253,279.689,499253.0,279689.0
Chi phí trả trước dài hạn khác,Dải hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,13.624,6.599,13624.0,6599.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,1.189.236,1.002.982,1189236.0,1002982.0
