row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2021VND,TăngVND,GiảmVND,Đánh giá lạiVND,Nợ dài hạnđến hạn trảVND,Tại ngày31.12.2021VND,numeric__col_1,numeric__Tại ngày1.1.2021VND,numeric__TăngVND,numeric__GiảmVND,numeric__Đánh giá lạiVND,numeric__Nợ dài hạnđến hạn trảVND,numeric__Tại ngày31.12.2021VND
(b),(b),(b),Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,,,,
(b),(b) > (b),(b),Vay ngân hàng (*),1.961.867.248.970,6.096.882.791.065,-,(70.059.447.358),(482.790.000.000),7.505.900.592.677,,1961867248970.0,6096882791065.0,,-70059447358.0,-482790000000.0,7505900592677.0
(b),(b),(b),(*) Chi tiết số dư các khoản vay dài hạn cuối năm như sau:,(*) Chi tiết số dư các khoản vay dài hạn cuối năm như sau:,(*) Chi tiết số dư các khoản vay dài hạn cuối năm như sau:,(*) Chi tiết số dư các khoản vay dài hạn cuối năm như sau:,(*) Chi tiết số dư các khoản vay dài hạn cuối năm như sau:,(*) Chi tiết số dư các khoản vay dài hạn cuối năm như sau:,(*) Chi tiết số dư các khoản vay dài hạn cuối năm như sau:,,,,,,,
(b),(b),(b),,,Tại ngày31.12.2021VND,Mục đích vay,Kỳ hạn trả gốc,Lãi suất,Tài sảnthe chấp,,,,,,,
(b),(b) > (b),(b),"Ngân hàng Mizuho Bank, Ltd",,2.183.082.557.573,"Mua sắm, xây dựng TSCĐ",Đến ngày 13 tháng 5 năm 2027,"LIBOR + 1,74%",Tín chấp,,,2183082557573.0,,,,
(b),(b) > (b),(b),Ngân hàng Đầu tư và Phát triển Việt Nam,,1.654.824.419.129,"Mua sắm, xây dựng TSCĐ",36 tháng kể từ ngày giải ngân,(ii),Tín chấp,,,1654824419129.0,,,,
(b),(b) > (b),(b),Ngân hàng TMCP Ngoại Thương Việt Nam,,1.010.715.197.067,"Mua sắm, xây dựng TSCĐ",36 tháng kể từ ngày giải ngân,(ii),Tín chấp,,,1010715197067.0,,,,
(b),(b) > (b),(b),Ngân hàng Thương mại Taipei Fubon,,878.755.558.429,"Mua sắm, xây dựng TSCĐ",42 tháng kể từ ngày giải ngân,"LIBOR + 1,7%",Tín chấp,,,878755558429.0,,,,
(b),(b) > (b),(b),Ngân hàng TMCP Đông Nam Á,,779.375.997.515,"Mua sắm, xây dựng TSCĐ",Đến ngày 29 tháng 8 năm 2027,(ii),Tín chấp,,,779375997515.0,,,,
(b),(b) > (b),(b),Ngân hàng TMCP Sài Gòn - Hà Nội,,610.605.100.538,"Mua sắm, xây dựng TSCĐ",24 tháng kể từ ngày giải ngân,(ii),Tín chấp,,,610605100538.0,,,,
(b),(b) > (b),(b),Ngân hàng TMCP Xuất nhập khẩu Việt Nam,,268.738.313.223,"Mua sắm, xây dựng TSCĐ",30 tháng kể từ ngày giải ngân,(ii),Tín chấp,,,268738313223.0,,,,
(b),(b) > (b),(b),Ngân hàng TMCP Hàng Hải Việt Nam,,119.803.449.203,"Mua sắm, xây dựng TSCĐ",Đến ngày 25 tháng 5 năm 2024,(i),Tín chấp,,,119803449203.0,,,,
(b),(b) > (b),(b),,,7.505.900.592.677,,,,,,,7505900592677.0,,,,
(b),(b),(b),"(i) Lãi suất huy động 12 tháng trả lãi sau thông thường của cá nhân bình quân + 2,3%.","(i) Lãi suất huy động 12 tháng trả lãi sau thông thường của cá nhân bình quân + 2,3%.","(i) Lãi suất huy động 12 tháng trả lãi sau thông thường của cá nhân bình quân + 2,3%.","(i) Lãi suất huy động 12 tháng trả lãi sau thông thường của cá nhân bình quân + 2,3%.","(i) Lãi suất huy động 12 tháng trả lãi sau thông thường của cá nhân bình quân + 2,3%.","(i) Lãi suất huy động 12 tháng trả lãi sau thông thường của cá nhân bình quân + 2,3%.","(i) Lãi suất huy động 12 tháng trả lãi sau thông thường của cá nhân bình quân + 2,3%.",,,,,,,
(b),(b),(b),"(ii) Lãi suất huy động 12 tháng trả lãi sau thông thường của cá nhân bình quân + 2,8%.","(ii) Lãi suất huy động 12 tháng trả lãi sau thông thường của cá nhân bình quân + 2,8%.","(ii) Lãi suất huy động 12 tháng trả lãi sau thông thường của cá nhân bình quân + 2,8%.","(ii) Lãi suất huy động 12 tháng trả lãi sau thông thường của cá nhân bình quân + 2,8%.","(ii) Lãi suất huy động 12 tháng trả lãi sau thông thường của cá nhân bình quân + 2,8%.","(ii) Lãi suất huy động 12 tháng trả lãi sau thông thường của cá nhân bình quân + 2,8%.","(ii) Lãi suất huy động 12 tháng trả lãi sau thông thường của cá nhân bình quân + 2,8%.",,,,,,,
