row_label_raw,row_label_full,col_0,Tại ngày1.1.2021VND,TăngVND,Cấn trừVND,GiảmVND,Tại ngày31.12.2021VND,numeric__Tại ngày1.1.2021VND,numeric__TăngVND,numeric__Cấn trừVND,numeric__GiảmVND,numeric__Tại ngày31.12.2021VND
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,,,,,
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,462.091.841.871,(4.965.704.369.212),5.412.446.389.055,-,908.833.861.714,462091841871.0,-4965704369212.0,5412446389055.0,,908833861714.0
Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,,,,,
Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,,,,,
Nội địa,Thuế GTGT > Nội địa,Nội địa,70.790.452.402,7.196.711.592.784,(5.412.446.389.055),(1.813.006.467.944),42.049.188.187,70790452402.0,7196711592784.0,-5412446389055.0,-1813006467944.0,42049188187.0
Nhập khẩu,Thuế GTGT > Nhập khẩu,Nhập khẩu,(4.417.560.000),1.502.931.172.469,,(1.502.931.172.469),(4.417.560.000),-4417560000.0,1502931172469.0,,-1502931172469.0,-4417560000.0
Thuế nhập khẩu,Thuế GTGT > Thuế nhập khẩu,Thuế nhập khẩu,(17.940.509.679),499.662.003.680,-,(499.276.510.190),(17.555.016.189),-17940509679.0,499662003680.0,,-499276510190.0,-17555016189.0
Thuế TNDN,Thuế GTGT > Thuế TNDN,Thuế TNDN,407.317.506.182,2.213.765.365.123,-,(2.172.312.806.323),448.770.064.982,407317506182.0,2213765365123.0,,-2172312806323.0,448770064982.0
Thuế thu nhập cá nhân,Thuế GTGT > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,15.374.089.657,84.111.075.963,-,(82.549.408.371),16.935.757.249,15374089657.0,84111075963.0,,-82549408371.0,16935757249.0
Khác,Thuế GTGT > Khác,Khác,1.491.919.067,74.503.792.340,-,(76.157.028.670),(161.317.263),1491919067.0,74503792340.0,,-76157028670.0,-161317263.0
,,,472.615.897.629,11.571.685.002.359,(5.412.446.389.055),(6.146.233.393.967),485.621.116.966,472615897629.0,11571685002359.0,-5412446389055.0,-6146233393967.0,485621116966.0
