row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2020,Vốn góp của chủ sở hữu VND > 19.139.500.000.000,Thặng dư vốn cổ phần VND > 210.679.541.297,Quỹ đầu tư và phát triển VND > 18.597.253.148.710,LNST chưa phân phối lũy kê của các năm trước VND > 795.116.204.750,LNST chưa phân phối năm nay VND > 9.890.328.150.553,Tổng cộng VND > 48.632.877.045.310,numeric__Vốn góp của chủ sở hữu VND > 19.139.500.000.000,numeric__Thặng dư vốn cổ phần VND > 210.679.541.297,numeric__Quỹ đầu tư và phát triển VND > 18.597.253.148.710,numeric__LNST chưa phân phối lũy kê của các năm trước VND > 795.116.204.750,numeric__LNST chưa phân phối năm nay VND > 9.890.328.150.553,numeric__Tổng cộng VND > 48.632.877.045.310
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,9.890.328.150.553,(9.890.328.150.553),-,,,,9890328150553.0,-9890328150553.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,8.069.010.868.266,8.069.010.868.266,,,,,8069010868266.0,8069010868266.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)",-,-,-,(146.001.776.715),(135.399.549.571),(281.401.326.286),,,,-146001776715.0,-135399549571.0,-281401326286.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(6.698.825.000.000),-,(6.698.825.000.000),,,,-6698825000000.0,,-6698825000000.0
Tiền chênh lệch giá khí phải trả cho Nhà nước,Tiền chênh lệch giá khí phải trả cho Nhà nước,Tiền chênh lệch giá khí phải trả cho Nhà nước,-,-,-,(1.186.877.709.681),-,(1.186.877.709.681),,,,-1186877709681.0,,-1186877709681.0
Thuế TNDN điều chỉnh giảm liên quan đến chi trả tiền chênh lệch giá khí cho Nhà nước,Thuế TNDN điều chỉnh giảm liên quan đến chi trả tiền chênh lệch giá khí cho Nhà nước,Thuế TNDN điều chỉnh giảm liên quan đến chi trả tiền chênh lệch giá khí cho Nhà nước,-,-,-,237.375.541.937,-,237.375.541.937,,,,237375541937.0,,237375541937.0
Khác,Khác,Khác,-,-,-,14.230.911.157,-,14.230.911.157,,,,14230911157.0,,14230911157.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,19.139.500.000.000,210.679.541.297,18.597.253.148.710,2.905.346.322.001,7.933.611.318.695,48.786.390.330.703,19139500000000.0,210679541297.0,18597253148710.0,2905346322001.0,7933611318695.0,48786390330703.0
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,7.933.611.318.695,(7.933.611.318.695),-,,,,7933611318695.0,-7933611318695.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,8.593.226.953.290,8.593.226.953.290,,,,,8593226953290.0,8593226953290.0
"Trích quỹ đầu tư phát triển Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)","Trích quỹ đầu tư phát triển Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)","Trích quỹ đầu tư phát triển Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)",-,-,2.194.300.000.000,(2.194.300.000.000),-,-,,,2194300000000.0,-2194300000000.0,,
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,-,(148.640.428.340),(140.806.595.361),(289.447.023.701),,,,-148640428340.0,-140806595361.0,-289447023701.0
Khác,Khác,Khác,-,-,-,(5.741.850.000.000),-,(5.741.850.000.000),,,,-5741850000000.0,,-5741850000000.0
,,,,,-,10.747.542.270,6.827.183.169,17.574.725.439,,,,10747542270.0,6827183169.0,17574725439.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,19.139.500.000.000,210.679.541.297,20.791.553.148.710,2.764.914.754.626,8.459.247.541.098,51.365.894.985.731,19139500000000.0,210679541297.0,20791553148710.0,2764914754626.0,8459247541098.0,51365894985731.0
