row_label_raw,row_label_full,Công ty liên kết,Công ty liên kết_1,Công ty liên kết_2,numeric__Công ty liên kết_1,numeric__Công ty liên kết_2
Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,6.761.372.118,6.774.640.502,6761372118.0,6774640502.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Tổng Công ty Điện lực Đầu khí Việt Nam,Các bên liên quan khác > Tổng Công ty Điện lực Đầu khí Việt Nam,Tổng Công ty Điện lực Đầu khí Việt Nam,1.364.868.608.904,950.024.244.490,1364868608904.0,950024244490.0
Công ty Cổ phần Phát triển Đô thị Dầu khí,Các bên liên quan khác > Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,50.000.000.000,50.000.000.000,50000000000.0,50000000000.0
Tổng Công ty Dầu Việt Nam,Các bên liên quan khác > Tổng Công ty Dầu Việt Nam,Tổng Công ty Dầu Việt Nam,19.199.359.072,46.084.296.613,19199359072.0,46084296613.0
Tổng Công ty Thăm dò và Khai thác Dầu khí,Các bên liên quan khác > Tổng Công ty Thăm dò và Khai thác Dầu khí,Tổng Công ty Thăm dò và Khai thác Dầu khí,53.097.029.622,7.988.723.432,53097029622.0,7988723432.0
Tổng Công ty Cổ phần Vận tải Dầu khí,Các bên liên quan khác > Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,1.453.870.134,-,1453870134.0,
,,,2.736.102.287.831,1.479.315.205.149,2736102287831.0,1479315205149.0
