row_label_raw,row_label_full,col_0,2021,2021_1,2020,2020_1,numeric__2021,numeric__2021_1,numeric__2020,numeric__2020_1
,,,Giá gốc VND,Dự phòng VND,Giá gốc VND,Dự phòng VND,,,,
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,483.695.674.196,-,65.504.882.633,-,483695674196.0,,65504882633.0,
"Vật tư, phụ tùng thay thế","Vật tư, phụ tùng thay thế","Vật tư, phụ tùng thay thế",639.587.021.965,(60.319.813.521),649.844.859.459,(43.640.120.292),639587021965.0,-60319813521.0,649844859459.0,-43640120292.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,63.202.479.699,-,46.136.611.278,-,63202479699.0,,46136611278.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",6.366.724.710,-,6.797.438.040,-,6366724710.0,,6797438040.0,
Chi phí SXKD dở dang,Chi phí SXKD dở dang,Chi phí SXKD dở dang,2.628.750.986,-,-,-,2628750986.0,,,
Thành phẩm,Thành phẩm,Thành phẩm,94.200.262.996,-,69.907.464.798,-,94200262996.0,,69907464798.0,
Hàng hóa,Hàng hóa,Hàng hóa,1.525.613.419.247,-,388.502.201.948,-,1525613419247.0,,388502201948.0,
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,62.264.607.724,-,126.267.913.440,-,62264607724.0,,126267913440.0,
,,,2.877.558.941.523,(60.319.813.521),1.352.961.371.596,(43.640.120.292),2877558941523.0,-60319813521.0,1352961371596.0,-43640120292.0
