row_label_raw,row_label_full,Công ty Cổ phần Lộc Hóa Dầu Bình Sơn,4.824.180.777.369,2.486.323.208.470,numeric__4.824.180.777.369,numeric__2.486.323.208.470
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,957.127.647.625,2.190.215.285.750,957127647625.0,2190215285750.0
Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,750.523.724.293,873.091.412.488,750523724293.0,873091412488.0
Liên doanh Việt - Nga Vietsovpetro,Liên doanh Việt - Nga Vietsovpetro,Liên doanh Việt - Nga Vietsovpetro,578.471.371.817,625.961.538.952,578471371817.0,625961538952.0
Tổng Công ty Thảm đỏ và Khai thác Dầu khí,Tổng Công ty Thảm đỏ và Khai thác Dầu khí,Tổng Công ty Thảm đỏ và Khai thác Dầu khí,606.553.271.354,237.085.395.154,606553271354.0,237085395154.0
Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,Tổng Công ty Cổ phần Bảo hiểm Dầu khí Việt Nam,118.219.664.639,216.011.665.449,118219664639.0,216011665449.0
Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,9.057.540.883,13.773.586.855,9057540883.0,13773586855.0
Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,10.329.089.652,7.135.260.465,10329089652.0,7135260465.0
Tổng Công ty Dầu Việt Nam - CTCP,Tổng Công ty Dầu Việt Nam - CTCP,Tổng Công ty Dầu Việt Nam - CTCP,5.121.949.324,4.951.180.487,5121949324.0,4951180487.0
Trường Cao Đằng nghề Dầu khí,Trường Cao Đằng nghề Dầu khí,Trường Cao Đằng nghề Dầu khí,4.176.609.400,47.511.384.636,4176609400.0,47511384636.0
Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,10.603.351.227,16.555.906.263,10603351227.0,16555906263.0
