row_label_raw,row_label_full,col_0,Sản lượng tối thiểu cam kết(tỷ m3/năm),Thời gian cam kết,numeric__Sản lượng tối thiểu cam kết(tỷ m3/năm),numeric__Thời gian cam kết
Cam kết mua khí với,Cam kết mua khí với,Cam kết mua khí với,Cam kết mua khí với,Cam kết mua khí với,,
Chủ khí Lô 06.1,Cam kết mua khí với > Chủ khí Lô 06.1,Chủ khí Lô 06.1,"2,7",Đến hết giai đoạn bình ổn,2.7,
Chủ khí Lô 11.2,Cam kết mua khí với > Chủ khí Lô 11.2,Chủ khí Lô 11.2,"1,216",Đến hết giai đoạn bình ổn,1.216,
Chủ khí Lô 05.2 và 05.3,Cam kết mua khí với > Chủ khí Lô 05.2 và 05.3,Chủ khí Lô 05.2 và 05.3,"1,368",Đến hết giai đoạn bình ổn,1.368,
Chủ khí Lô 102 và 106,Cam kết mua khí với > Chủ khí Lô 102 và 106,Chủ khí Lô 102 và 106,"0,204",Đến hết giai đoạn bình ổn,0.204,
Chủ khí Lô 05-1b và 05-1c,Cam kết mua khí với > Chủ khí Lô 05-1b và 05-1c,Chủ khí Lô 05-1b và 05-1c,"1,508",Đến hết giai đoạn bình ổn,1.508,
Cam kết bán khí Nam Côn Sơn với,Cam kết bán khí Nam Côn Sơn với,Cam kết bán khí Nam Côn Sơn với,Cam kết bán khí Nam Côn Sơn với,Cam kết bán khí Nam Côn Sơn với,,
Tập đoàn Điện lực Việt Nam,Cam kết bán khí Nam Côn Sơn với > Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,"1,85",Trong giai đoạn bình ổn,1.85,
Công ty TNHH Phú Mỹ 3 BOT Power,Cam kết bán khí Nam Côn Sơn với > Công ty TNHH Phú Mỹ 3 BOT Power,Công ty TNHH Phú Mỹ 3 BOT Power,"0,85",Đến tháng 9 năm 2023,0.85,
Công ty TNHH Năng lượng Mekong,Cam kết bán khí Nam Côn Sơn với > Công ty TNHH Năng lượng Mekong,Công ty TNHH Năng lượng Mekong,"0,85",Đến tháng 2 năm 2024,0.85,
Tổng Công ty Điện lực Dầu khí Việt Nam,Cam kết bán khí Nam Côn Sơn với > Tổng Công ty Điện lực Dầu khí Việt Nam,Tổng Công ty Điện lực Dầu khí Việt Nam,"0,447",Trong giai đoạn bình ổn,0.447,
Công ty Cổ phần Điện lực Dầu khí Nhơn trạch 2,Cam kết bán khí Nam Côn Sơn với > Công ty Cổ phần Điện lực Dầu khí Nhơn trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn trạch 2,"0,785",Đến ngày 31 tháng 12 năm 2036,0.785,
