row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty Cổ phầnMay Tiến Phát,Phải thu ngắn hạn của khách hàng > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Công tyliên kết,Bán hàng hóavà dịch vụ,31.707.966.849,26.615.190.719,,,31707966849.0,26615190719.0
Ông Trần LamThông,Phải thu ngắn hạn của khách hàng > Ông Trần LamThông,Ông Trần LamThông,Bên liênquan,Phải thu chuyểnnhượng cổ phiếu,28.470.000.000,28.470.000.000,,,28470000000.0,28470000000.0
Công ty Cổ phầnĐầu tư phát triểnTân Sơn Nhất,Phải thu ngắn hạn của khách hàng > Công ty Cổ phầnĐầu tư phát triểnTân Sơn Nhất,Công ty Cổ phầnĐầu tư phát triểnTân Sơn Nhất,Bên liênquan,Bán hàng hóavà dịch vụ,548.533.723,-,,,548533723.0,
Công ty TNHH MTVKỹ thuật Xây dựngToàn Thịnh Phát,Phải thu ngắn hạn của khách hàng > Công ty TNHH MTVKỹ thuật Xây dựngToàn Thịnh Phát,Công ty TNHH MTVKỹ thuật Xây dựngToàn Thịnh Phát,Bên liênquan,Bán hàng hóavà dịch,126.510.549,126.510.549,,,126510549.0,126510549.0
Bà Nguyễn ThủyVân,Phải thu ngắn hạn của khách hàng > Bà Nguyễn ThủyVân,Bà Nguyễn ThủyVân,Chủ tịchHDQT,Bán hàng hóavà dịch vụ,114.501.769,-,,,114501769.0,
Công ty TNHH MTVDịch vụ Bất độngsản Minh Anh,Phải thu ngắn hạn của khách hàng > Công ty TNHH MTVDịch vụ Bất độngsản Minh Anh,Công ty TNHH MTVDịch vụ Bất độngsản Minh Anh,Bên liênquan,Bán hàng hóavà dịch vụ,49.510.010,-,,,49510010.0,
Công ty Cổ phầnNăng lượng ThànhThành Công,Phải thu ngắn hạn của khách hàng > Công ty Cổ phầnNăng lượng ThànhThành Công,Công ty Cổ phầnNăng lượng ThànhThành Công,Công tytrong cứngTập đoàn,Bán hàng hóavà dịch vụ,2.090.000,2.090.000,,,2090000.0,2090000.0
Ông Nguyễn HữuĐạt,Phải thu ngắn hạn của khách hàng > Ông Nguyễn HữuĐạt,Ông Nguyễn HữuĐạt,Bên liênquan,Bán hàng hóavà dịch vụ,-,10.233.197.451,,,,10233197451.0
Công ty Cổ phầnToàn Hải Vân,Phải thu ngắn hạn của khách hàng > Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,Công tytrong cứngTập đoàn,Bán hàng hóavà dịch vụ,-,1.205.544.303,,,,1205544303.0
Công ty TNHH Sảnxuất Xây dựng Dịchvụ Hoa Đồng,Phải thu ngắn hạn của khách hàng > Công ty TNHH Sảnxuất Xây dựng Dịchvụ Hoa Đồng,Công ty TNHH Sảnxuất Xây dựng Dịchvụ Hoa Đồng,Công tyliên kết,Bán hàng hóavà dịch vụ,-,1.117.428.339,,,,1117428339.0
Công ty Cổ phần Dulịch Thành ThànhCông Lâm Đồng,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Dulịch Thành ThànhCông Lâm Đồng,Công ty Cổ phần Dulịch Thành ThànhCông Lâm Đồng,Công tytrong cứngTập đoàn,Bán hàng hóavà dịch vụ,-,625.205.481,,,,625205481.0
Ông Bùi Tiến Thắng,Phải thu ngắn hạn của khách hàng > Ông Bùi Tiến Thắng,Ông Bùi Tiến Thắng,Phó chủ tịchHDQT,Bán hàng hóavà dịch vụ,-,12.000.000,,,,12000000.0
