row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty Cổ phầnMay Tiến Phát,Phải thu về cho vay ngắn hạn > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Công ty liên kết,Cho vay,1.376.230.000.000,1.425.819.250.000,,,1376230000000.0,1425819250000.0
Công ty Cổ phần Đầu tư Bất động sản 66,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Bất động sản 66,Công ty Cổ phần Đầu tư Bất động sản 66,Công ty liên kết,Cho vay,61.200.000.000,104.420.000.000,,,61200000000.0,104420000000.0
Công ty Cổ phần Đầu tư Phát triển Tân Sơn Nhất,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Tân Sơn Nhất,Công ty Cổ phần Đầu tư Phát triển Tân Sơn Nhất,Bên liên quan,Cho vay,57.640.000.000,35.540.000.000,,,57640000000.0,35540000000.0
Công ty Cổ phần Toàn Hải Vân,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty trong cùng Tập đoàn,Cho vay,54.300.000.000,48.000.000.000,,,54300000000.0,48000000000.0
Công ty Cổ phần Thành Thành Nam,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty trong cùng Tập đoàn,Cho vay,47.912.018.000,88.500.000.000,,,47912018000.0,88500000000.0
Công ty Cổ phần Năng lượng TTC,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,Công ty trong cùng Tập đoàn,Cho vay,24.000.000.000,-,,,24000000000.0,
Bà Huỳnh Thảo Linh,Phải thu về cho vay ngắn hạn > Bà Huỳnh Thảo Linh,Bà Huỳnh Thảo Linh,Bên liên quan,Cho vay,17.886.676.389,41.500.000.000,,,17886676389.0,41500000000.0
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông lớn,Cho vay,8.580.000.000,8.580.000.000,,,8580000000.0,8580000000.0
Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Bên liên quan,Cho vay,6.525.694.445,6.525.694.445,,,6525694445.0,6525694445.0
Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Phải thu về cho vay ngắn hạn > Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Đầu tư khác,Cho vay,825.000.000,287.919.200.000,,,825000000.0,287919200000.0
,,,,,1.655.099.388.834,2.046.804.144.445,,,1655099388834.0,2046804144445.0
