row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sauthuế chưa phânphối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sauthuế chưa phânphối,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.663.563.030.000,333.257.781.211,144.639.920.686,24.890.292.522,497.108.586.920,4.663.459.611.339,3663563030000.0,333257781211.0,144639920686.0,24890292522.0,497108586920.0,4663459611339.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,187.140.334.951,187.140.334.951,,,,,187140334951.0,187140334951.0
Trích quỹ đầu tư phát triển,Năm nay > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,5.481.856.816,-,(5.481.856.816),-,,,5481856816.0,,-5481856816.0,
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(10.963.713.632),(10.963.713.632),,,,,-10963713632.0,-10963713632.0
Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,Năm nay > Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,-,-,-,-,455.169.032,455.169.032,,,,,455169032.0,455169032.0
Chi phí hoạt động của HĐQT,Năm nay > Chi phí hoạt động của HĐQT,Chi phí hoạt động của HĐQT,-,-,-,-,(7.147.390.428),(7.147.390.428),,,,,-7147390428.0,-7147390428.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.663.563.030.000,333.257.781.211,150.121.777.502,24.890.292.522,661.111.130.027,4.832.944.011.262,3663563030000.0,333257781211.0,150121777502.0,24890292522.0,661111130027.0,4832944011262.0
