row_label_raw,row_label_full,Giá trị đầu tư > Số đầu năm > Tăng trong năm > Giảm trong năm > Số cuối năm,Năm nay > Giá trị đầu tư > 196.534.048.907 > 39.587.982.000 > (94.400.000.000) > 141.722.030.907,VNDNăm trước > Giá trị đầu tư > 173.312.048.907 > 25.422.000.000 > (2.200.000.000) > 196.534.048.907,numeric__Năm nay > Giá trị đầu tư > 196.534.048.907 > 39.587.982.000 > (94.400.000.000) > 141.722.030.907,numeric__VNDNăm trước > Giá trị đầu tư > 173.312.048.907 > 25.422.000.000 > (2.200.000.000) > 196.534.048.907
Phần lũy kế lỗ sau khi đầu tư vào công ty liên kết,Phần lũy kế lỗ sau khi đầu tư vào công ty liên kết,Phần lũy kế lỗ sau khi đầu tư vào công ty liên kết,Phần lũy kế lỗ sau khi đầu tư vào công ty liên kết,Phần lũy kế lỗ sau khi đầu tư vào công ty liên kết,,
Số đầu năm,Phần lũy kế lỗ sau khi đầu tư vào công ty liên kết > Số đầu năm,Số đầu năm,(38.950.586.114),(27.404.621.411),-38950586114.0,-27404621411.0
Lợi nhuận (lỗ) từ các công ty liên kết,Phần lũy kế lỗ sau khi đầu tư vào công ty liên kết > Lợi nhuận (lỗ) từ các công ty liên kết,Lợi nhuận (lỗ) từ các công ty liên kết,15.737.135.324,(7.262.212.450),15737135324.0,-7262212450.0
Lợi nhuận từ chuyển nhượng cổ phầncông ty liên kết,Phần lũy kế lỗ sau khi đầu tư vào công ty liên kết > Lợi nhuận từ chuyển nhượng cổ phầncông ty liên kết,Lợi nhuận từ chuyển nhượng cổ phầncông ty liên kết,78.324.571,-,78324571.0,
Giảm trong năm,Phần lũy kế lỗ sau khi đầu tư vào công ty liên kết > Giảm trong năm,Giảm trong năm,-,(179.752.253),,-179752253.0
Cổ tức được chia trong năm,Phần lũy kế lỗ sau khi đầu tư vào công ty liên kết > Cổ tức được chia trong năm,Cổ tức được chia trong năm,(3.693.600.000),(4.104.000.000),-3693600000.0,-4104000000.0
Số cuối năm,Phần lũy kế lỗ sau khi đầu tư vào công ty liên kết > Số cuối năm,Số cuối năm,(26.828.726.219),(38.950.586.114),-26828726219.0,-38950586114.0
Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,Giá trị đầu tư còn lại,,
Số đầu năm,Giá trị đầu tư còn lại > Số đầu năm,Số đầu năm,157.583.462.793,145.907.427.496,157583462793.0,145907427496.0
Số cuối năm,Giá trị đầu tư còn lại > Số cuối năm,Số cuối năm,114.893.304.688,157.583.462.793,114893304688.0,157583462793.0
