row_label_raw,row_label_full,Bên vay > Công ty Cổ phầnThành ThànhNam > Công ty Cổ phầnNăng lượng TTC > Bà Huỳnh ThảoLinh > Công ty Cổ phầnĐầu tư ThànhThành Công > Công ty Cổ phầnĐầu,Số cuối nămVND > 47.912.018.000 > 24.000.000.000 > 17.886.676.389 > 8.580.000.000 > 6.525.694.445,Ngày đáo hạn > Ngày 21 tháng 12năm 2022 > Ngày 11 tháng 5năm 2022 > Ngày 5 tháng 7năm 2022 > Ngày 28 tháng 12năm 2022 > Ngày 31 tháng 12năm 2022,"Lãi suất%/năm > 6,5 > 11,5 > 11,0 > 9,0 > Từ10,0đến10,5",Hình thức đãmbảo > Tín chấp,numeric__Số cuối nămVND > 47.912.018.000 > 24.000.000.000 > 17.886.676.389 > 8.580.000.000 > 6.525.694.445,numeric__Ngày đáo hạn > Ngày 21 tháng 12năm 2022 > Ngày 11 tháng 5năm 2022 > Ngày 5 tháng 7năm 2022 > Ngày 28 tháng 12năm 2022 > Ngày 31 tháng 12năm 2022,"numeric__Lãi suất%/năm > 6,5 > 11,5 > 11,0 > 9,0 > Từ10,0đến10,5",numeric__Hình thức đãmbảo > Tín chấp
tự Kiến trúc Xâydyrng Toàn ThịnhPhát,tự Kiến trúc Xâydyrng Toàn ThịnhPhát,tự Kiến trúc Xâydyrng Toàn ThịnhPhát,,,,,,,,
Công ty Cổ phầnSản xuất Xâydyrng Dịch vụ,Công ty Cổ phầnSản xuất Xâydyrng Dịch vụ,Công ty Cổ phầnSản xuất Xâydyrng Dịch vụ,,Ngày 5 tháng 3năm 2022,"Từ 12,5đến13,0",Tín chấp,,,,
Hoa Đồng,Công ty Cổ phầnSản xuất Xâydyrng Dịch vụ > Hoa Đồng,Hoa Đồng,825.000.000,,,,825000000.0,,,
TỔNG CỘNG,Công ty Cổ phầnSản xuất Xâydyrng Dịch vụ > TỔNG CỘNG,TỔNG CỘNG,1.655.099.388.834,,,,1655099388834.0,,,
