row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Ông Vũ Quốc,Ông Vũ Quốc,Ông Vũ Quốc,Thành viên,Vay,-,18.354.000.000,,,,18354000000.0
Thái,Thái,Thái,HDQT,Ứng tiền,-,5.143.527.319,,,,5143527319.0
Thái,Thái,Thái,HDQT,Hoàn trả gốc vay,900.000.000,1.855.154.762,,,900000000.0,1855154762.0
Thái,Thái,Thái,HDQT,Chi phí lãi vay,1.977.774.461,789.163.902,,,1977774461.0,789163902.0
Thái,Thái,Thái,HDQT,Hoàn tạm ứng,-,493.527.319,,,,493527319.0
Ông Lâm Minh Châu,Ông Lâm Minh Châu,Ông Lâm Minh Châu,Trường TBKT đến ngày 29 tháng 6 năm 2020,Hoàn trả gốc vay,-,3.111.729.812,,,,3111729812.0
Ông Lâm Minh Châu,Ông Lâm Minh Châu,Ông Lâm Minh Châu,Trường TBKT đến ngày 29 tháng 6 năm 2020,Vay,-,1.000.000.000,,,,1000000000.0
Ông Lâm Minh Châu,Ông Lâm Minh Châu,Ông Lâm Minh Châu,Trường TBKT đến ngày 29 tháng 6 năm 2020,Chi phí lãi vay,-,44.777.077,,,,44777077.0
Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty trong cứng Tập đoàn,Vay,-,510.000.000.000,,,,510000000000.0
Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty trong cứng Tập đoàn,Hoàn trả gốc vay,-,510.000.000.000,,,,510000000000.0
Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty trong cứng Tập đoàn,Góp vốn đầu tư,66.300.000.000,232.000.000.000,,,66300000000.0,232000000000.0
Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty trong cứng Tập đoàn,Thu hồi cho vay,47.000.000.000,100.663.095.887,,,47000000000.0,100663095887.0
Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty trong cứng Tập đoàn,Chi phí lãi vay,-,20.952.328.766,,,,20952328766.0
Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty trong cứng Tập đoàn,Lãi cho vay,7.083.887.664,8.094.011.018,,,7083887664.0,8094011018.0
Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty trong cứng Tập đoàn,Bán hàng hóa và dịch vụ,3.122.000,-,,,3122000.0,
Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty Cổ phần Toân Hải Vân,Công ty trong cứng Tập đoàn,Thu nhập từ HDGVKD,69.431.523.286,-,,,69431523286.0,
Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty liên kết,Chi phí lãi vay,328.500.000,417.008.217,,,328500000.0,417008217.0
Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty liên kết,Trà nợ gốc vay,-,2.200.000.000,,,,2200000000.0
Công ty Cổ phần Năng lượng Thành Thành Công,Công ty Cổ phần Năng lượng Thành Thành Công,Công ty Cổ phần Năng lượng Thành Thành Công,Công ty trong cùng Tập đoàn,Mua dịch vụ,-,1.812.000.000,,,,1812000000.0
Công ty Cổ phần Năng lượng Thành Thành Công,Công ty Cổ phần Năng lượng Thành Thành Công,Công ty Cổ phần Năng lượng Thành Thành Công,Công ty trong cùng Tập đoàn,Cung cấp dịch vụ,450.000,12.600.000,,,450000.0,12600000.0
Ông Đặng Hồng Anh,Ông Đặng Hồng Anh,Ông Đặng Hồng Anh,Cổ đông lớn,Tạm ứng,54.461.550,228.052.790,,,54461550.0,228052790.0
Ông Đặng Hồng Anh,Ông Đặng Hồng Anh,Ông Đặng Hồng Anh,Cổ đông lớn,Hoàn tạm ứng,27.399.000,1.155.282.686,,,27399000.0,1155282686.0
