row_label_raw,row_label_full,Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Đầu tư khác,Mua hàng hóa và dịch vụ,-,470.646.667.738,numeric__Đầu tư khác,numeric__Mua hàng hóa và dịch vụ,numeric__-,numeric__470.646.667.738
Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,Bên liên quan,Mua hàng hóa và dịch vụ,71.400.000.000,71.400.000.000,,,71400000000.0,71400000000.0
Công ty Cổ phần Chứng khoán Bản Việt,Công ty Cổ phần Chứng khoán Bản Việt,Công ty Cổ phần Chứng khoán Bản Việt,Cổ đông lớn,Mua hàng hóa và dịch vụ,-,100.000.000,,,,100000000.0
Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty trong cùng Tập đoàn,Mua hàng hóa và dịch vụ,-,28.375.000,,,,28375000.0
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Bên liên quan,Mua hàng hóa và dịch vụ,1.000.000.000,-,,,1000000000.0,
,,,,,72.400.000.000,542.175.042.738,,,72400000000.0,542175042738.0
