row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,33.025.796.166,108.193.586.132,33025796166.0,108193586132.0
Thu nhập từ các khoản ủy thác đầu tư,Thu nhập từ các khoản ủy thác đầu tư,Thu nhập từ các khoản ủy thác đầu tư,29.239.592.954,-,29239592954.0,
Tiền bồi thường nhận từ các bên khác,Tiền bồi thường nhận từ các bên khác,Tiền bồi thường nhận từ các bên khác,3.244.295.975,2.322.423.194,3244295975.0,2322423194.0
Tiền thu được khi thanh lý tài sản cố định,Tiền thu được khi thanh lý tài sản cố định,Tiền thu được khi thanh lý tài sản cố định,50.000.000,73.911.120,50000000.0,73911120.0
Thu nhập từ thanh lý HĐHTĐT với Tấn Hưng,Thu nhập từ thanh lý HĐHTĐT với Tấn Hưng,Thu nhập từ thanh lý HĐHTĐT với Tấn Hưng,-,100.000.000.000,,100000000000.0
Khác,Khác,Khác,491.907.237,5.797.251.818,491907237.0,5797251818.0
Chi phí khác,Chi phí khác,Chi phí khác,(23.649.058.451),(6.198.509.723),-23649058451.0,-6198509723.0
Tiền bồi thường do vi phạm hợp đồng,Tiền bồi thường do vi phạm hợp đồng,Tiền bồi thường do vi phạm hợp đồng,(11.357.619.880),(7.137.940),-11357619880.0,-7137940.0
Chi phí dự án không thực hiện,Chi phí dự án không thực hiện,Chi phí dự án không thực hiện,(7.849.765.540),-,-7849765540.0,
Chi phí phạt thuế,Chi phí phạt thuế,Chi phí phạt thuế,(515.416.097),(4.962.808.960),-515416097.0,-4962808960.0
Lỗ từ xóa số công nợ phải thu,Lỗ từ xóa số công nợ phải thu,Lỗ từ xóa số công nợ phải thu,-,(996.745.861),,-996745861.0
Lỗ từ thanh lý tài sản cố định,Lỗ từ thanh lý tài sản cố định,Lỗ từ thanh lý tài sản cố định,-,(231.816.962),,-231816962.0
Khác,Khác,Khác,(3.926.256.934),-,-3926256934.0,
LỢI NHUẬN KHÁC,LỢI NHUẬN KHÁC,LỢI NHUẬN KHÁC,9.376.737.715,101.995.076.409,9376737715.0,101995076409.0
