row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,249.090.909,1.262.542.206,1.160.045.454,12.370.720.769,15.042.399.338,249090909.0,1262542206.0,1160045454.0,12370720769.0,15042399338.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,-,-,788.927.111,788.927.111,,,,788927111.0,788927111.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,249.090.909,1.262.542.206,1.160.045.454,13.159.647.880,15.831.326.449,249090909.0,1262542206.0,1160045454.0,13159647880.0,15831326449.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,249.090.909,1.012.671.216,-,6.736.544.260,7.998.306.385,249090909.0,1012671216.0,,6736544260.0,7998306385.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(228.333.336),(1.161.793.663),(467.505.664),(9.917.836.158),(11.775.468.821),-228333336.0,-1161793663.0,-467505664.0,-9917836158.0,-11775468821.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(20.757.573),(72.103.656),(193.340.904),(1.359.369.986),(1.645.572.119),-20757573.0,-72103656.0,-193340904.0,-1359369986.0,-1645572119.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(249.090.909),(1.233.897.319),(660.846.568),(11.277.206.144),(13.421.040.940),-249090909.0,-1233897319.0,-660846568.0,-11277206144.0,-13421040940.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,20.757.573,100.748.543,692.539.790,2.452.884.611,3.266.930.517,20757573.0,100748543.0,692539790.0,2452884611.0,3266930517.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,28.644.887,499.198.886,1.882.441.736,2.410.285.509,,28644887.0,499198886.0,1882441736.0,2410285509.0
