row_label_raw,row_label_full,Bên vay > Công Ty Cổ Phần Thương Mại Xây,Số cuối năm VND > 219.584.200.000,Ngày đáo hạn > Từ ngày 29 tháng 4 năm 2022 đến ngày 9 tháng 11 năm 2022,Lãi suất %/năm > 12,numeric__Số cuối năm VND > 219.584.200.000,numeric__Ngày đáo hạn > Từ ngày 29 tháng 4 năm 2022 đến ngày 9 tháng 11 năm 2022,numeric__Lãi suất %/năm > 12
Dựng Dịch Vụ Phúc Bảo Minh,Dựng Dịch Vụ Phúc Bảo Minh,Dựng Dịch Vụ Phúc Bảo Minh,,,,,,
Công ty Cổ phần Thực phẩm CJ Cầu Tre,Dựng Dịch Vụ Phúc Bảo Minh > Công ty Cổ phần Thực phẩm CJ Cầu Tre,Công ty Cổ phần Thực phẩm CJ Cầu Tre,156.000.000.000,Ngày 15 tháng 11 năm 2022,"10,5",156000000000.0,,10.5
TỔNG CỘNG,Dựng Dịch Vụ Phúc Bảo Minh > TỔNG CỘNG,TỔNG CỘNG,375.584.200.000,,,375584200000.0,,
