row_label_raw,row_label_full,Công ty,Địa điểm Tỉnh trạng,Ngành nghề kinh doanh,Tỷ lệ lợi ích %,Tỷ lệ biểu quyết %,numeric__Địa điểm Tỉnh trạng,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ lợi ích %,numeric__Tỷ lệ biểu quyết %
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
Công ty Cổ phầnMay Tiến Phát,Công ty liên kết > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,HCMC Đang hoạt động,Bất động sản và dịch vụ thương mại,"22,51",(*),,,22.51,
Công ty Cổ phần Đầu tư Xây dựng Long An - IDICO,Công ty liên kết > Công ty Cổ phần Đầu tư Xây dựng Long An - IDICO,Công ty Cổ phần Đầu tư Xây dựng Long An - IDICO,HCMC Đang hoạt động,Bất động sản và dịch vụ thương mại,"23,98","24,00",,,23.98,24.0
Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty liên kết > Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty Cổ phần Đầu tư Địa ốc Kim Thành,HCMC Đang hoạt động,Bất động sản,"48,00","48,00",,,48.0,48.0
Công ty Cổ phần Đầu tư SVG,Công ty liên kết > Công ty Cổ phần Đầu tư SVG,Công ty Cổ phần Đầu tư SVG,HCMC Đang hoạt động,Sản xuất và xây dựng,"50,00",(*),,,50.0,
