row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ khác thuộc Lợi nhuận sau thuế vốn chủ sở hữu,chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc Lợi nhuận sau thuế vốn chủ sở hữu,numeric__chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.392.226.750.000,333.257.781.211,134.240.908.893,24.890.292.522,621.355.873.192,4.505.971.605.818,3392226750000.0,333257781211.0,134240908893.0,24890292522.0,621355873192.0,4505971605818.0
Tăng vốn,Năm trước > Tăng vốn,Tăng vốn,271.336.280.000,-,-,-,(271.336.280.000),-,271336280000.0,,,,-271336280000.0,
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,188.691.189.417,188.691.189.417,,,,,188691189417.0,188691189417.0
Trích quỹ đầu tư phát triển,Năm trước > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,10.399.011.793,-,(10.399.011.793),-,,,10399011793.0,,-10399011793.0,
"Trích quỹ khen thưởng, phúc lợi Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát","Năm trước > Trích quỹ khen thưởng, phúc lợi Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát","Trích quỹ khen thưởng, phúc lợi Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát",-,-,-,-,(20.798.023.586),(20.798.023.586),,,,,-20798023586.0,-20798023586.0
Chi phí hoạt động của HĐQT,Năm trước > Chi phí hoạt động của HĐQT,Chi phí hoạt động của HĐQT,-,-,-,-,(6.302.550.738),(6.302.550.738),,,,,-6302550738.0,-6302550738.0
Chi phí hoạt động của HĐQT,Năm trước > Chi phí hoạt động của HĐQT,Chi phí hoạt động của HĐQT,-,-,-,-,(4.102.609.572),(4.102.609.572),,,,,-4102609572.0,-4102609572.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.663.563.030.000,333.257.781.211,144.639.920.686,24.890.292.522,497.108.586.920,4.663.459.611.339,3663563030000.0,333257781211.0,144639920686.0,24890292522.0,497108586920.0,4663459611339.0
