row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Phân loại lại,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Phân loại lại,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.384.894.542.498,1.023.496.402.312,(1.863.823.553.495),243.652.235.292,788.219.626.607,1384894542498.0,1023496402312.0,-1863823553495.0,243652235292.0,788219626607.0
Vay cá nhân và tổ chức (Thuyết minh số 26.1),Vay cá nhân và tổ chức (Thuyết minh số 26.1),Vay cá nhân và tổ chức (Thuyết minh số 26.1),434.885.238.843,271.769.604.692,(360.493.846.552),-,346.160.996.983,434885238843.0,271769604692.0,-360493846552.0,,346160996983.0
Vay ngắn hạn ngân hàng (Thuyết minh số 26.2),Vay ngắn hạn ngân hàng (Thuyết minh số 26.2),Vay ngắn hạn ngân hàng (Thuyết minh số 26.2),224.755.720.935,751.726.797.620,(791.883.816.532),-,184.598.702.023,224755720935.0,751726797620.0,-791883816532.0,,184598702023.0
Trái phiếu dài hạn đến hạn trả (Thuyết minh số 26.4),Trái phiếu dài hạn đến hạn trả (Thuyết minh số 26.4),Trái phiếu dài hạn đến hạn trả (Thuyết minh số 26.4),640.095.890.411,-,(640.095.890.411),80.000.000.000,80.000.000.000,640095890411.0,,-640095890411.0,80000000000.0,80000000000.0
Vay dài hạn ngân hàng đến hạn trả (Thuyết minh số 26.3),Vay dài hạn ngân hàng đến hạn trả (Thuyết minh số 26.3),Vay dài hạn ngân hàng đến hạn trả (Thuyết minh số 26.3),85.157.692.309,-,(71.350.000.000),163.022.889.012,176.830.581.321,85157692309.0,,-71350000000.0,163022889012.0,176830581321.0
Thuê tài chính,Thuê tài chính,Thuê tài chính,-,-,-,629.346.280,629.346.280,,,,629346280.0,629346280.0
Dải hạn,Dải hạn,Dải hạn,1.401.109.107.691,60.729.456.942,(440.334.684.666),(243.652.235.292),777.851.644.675,1401109107691.0,60729456942.0,-440334684666.0,-243652235292.0,777851644675.0
Trái phiếu dài hạn (Thuyết minh số 26.4),Trái phiếu dài hạn (Thuyết minh số 26.4),Trái phiếu dài hạn (Thuyết minh số 26.4),490.000.000.000,-,(410.000.000.000),(80.000.000.000),-,490000000000.0,,-410000000000.0,-80000000000.0,
Vay dài hạn ngân hàng (Thuyết minh số 26.3),Vay dài hạn ngân hàng (Thuyết minh số 26.3),Vay dài hạn ngân hàng (Thuyết minh số 26.3),913.917.307.691,58.841.456.942,(32.721.106.869),(163.022.889.012),777.014.768.752,913917307691.0,58841456942.0,-32721106869.0,-163022889012.0,777014768752.0
Chi phí phát hành trái phiếu (Thuyết minh số 26.4),Chi phí phát hành trái phiếu (Thuyết minh số 26.4),Chi phí phát hành trái phiếu (Thuyết minh số 26.4),(2.808.200.000),-,2.808.200.000,-,-,-2808200000.0,,2808200000.0,,
Thuê tài chính dài hạn,Thuê tài chính dài hạn,Thuê tài chính dài hạn,-,1.888.000.000,(421.777.797),(629.346.280),836.875.923,,1888000000.0,-421777797.0,-629346280.0,836875923.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.786.003.650.189,1.084.225.859.254,(2.304.158.238.161),-,1.566.071.271.282,2786003650189.0,1084225859254.0,-2304158238161.0,,1566071271282.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Vay từ bên khác,Trong đó: > Vay từ bên khác,Vay từ bên khác,2.701.351.927.406,,,,1.543.172.426.044,2701351927406.0,,,,1543172426044.0
Vay từ bên liên quan (Thuyết minh số 36),Trong đó: > Vay từ bên liên quan (Thuyết minh số 36),Vay từ bên liên quan (Thuyết minh số 36),84.651.722.783,,,,22.898.845.238,84651722783.0,,,,22898845238.0
