row_label_raw,row_label_full,Bên cho vay,Lãi suất > %/năm,Số cuối năm > VND,Số đầu năm > VND,numeric__Lãi suất > %/năm,numeric__Số cuối năm > VND,numeric__Số đầu năm > VND
Các cá nhân,Các cá nhân,Các cá nhân,"7,50-11,00",338.860.996.983,347.103.486.099,,338860996983.0,347103486099.0
Công ty Cổ phần Đầu tư Bắtđộng sản Kim Thành,Công ty Cổ phần Đầu tư Bắtđộng sản Kim Thành,Công ty Cổ phần Đầu tư Bắtđộng sản Kim Thành,"10,00",7.300.000.000,7.300.000.000,10.0,7300000000.0,7300000000.0
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,"4,50",-,58.063.752.744,4.5,,58063752744.0
Công ty Cổ phần Bao bì và Khobải Bình Tây,Công ty Cổ phần Bao bì và Khobải Bình Tây,Công ty Cổ phần Bao bì và Khobải Bình Tây,"10,00",-,21.818.000.000,10.0,,21818000000.0
Công ty TNHH MTV Tư vấnSài Gòn Thương Tín,Công ty TNHH MTV Tư vấnSài Gòn Thương Tín,Công ty TNHH MTV Tư vấnSài Gòn Thương Tín,"10,50",-,600.000.000,10.5,,600000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,346.160.996.983,434.885.238.843,,346160996983.0,434885238843.0
