row_label_raw,row_label_full,Cho vay bên liên quan (Thuyết minh số 36) (i),Số cuối năm > 1.655.099.388.834,VND Số đầu năm > 2.046.804.144.445,numeric__Số cuối năm > 1.655.099.388.834,numeric__VND Số đầu năm > 2.046.804.144.445
Cho vay bên khác (ii),Cho vay bên khác (ii),Cho vay bên khác (ii),375.584.200.000,156.000.000.000,375584200000.0,156000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.030.683.588.834,2.202.804.144.445,2030683588834.0,2202804144445.0
