row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm vi tính,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm vi tính,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,209.629.895.999,16.214.763.213,3.966.871.000,229.811.530.212,209629895999.0,16214763213.0,3966871000.0,229811530212.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,1.739.250.000,-,1.739.250.000,,1739250000.0,,1739250000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,209.629.895.999,17.954.013.213,3.966.871.000,231.550.780.212,209629895999.0,17954013213.0,3966871000.0,231550780212.0
Trong đó:Dã hao mòn hết,Nguyên giá: > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,-,3.698.127.097,-,3.698.127.097,,3698127097.0,,3698127097.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(14.942.114.813),(6.611.001.834),(1.687.990.729),(23.241.107.376),-14942114813.0,-6611001834.0,-1687990729.0,-23241107376.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(3.684.959.820),(1.613.792.410),(620.847.875),(5.919.600.105),-3684959820.0,-1613792410.0,-620847875.0,-5919600105.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(18.627.074.633),(8.224.794.244),(2.308.838.604),(29.160.707.481),-18627074633.0,-8224794244.0,-2308838604.0,-29160707481.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,194.687.781.186,9.603.761.379,2.278.880.271,206.570.422.836,194687781186.0,9603761379.0,2278880271.0,206570422836.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,191.002.821.366,9.729.218.969,1.658.032.396,202.390.072.731,191002821366.0,9729218969.0,1658032396.0,202390072731.0
Trong đó:Tài sản sử dụng để thế chấp (Thuyết minh số 26),Giá trị còn lại: > Trong đó:Tài sản sử dụng để thế chấp (Thuyết minh số 26),Trong đó:Tài sản sử dụng để thế chấp (Thuyết minh số 26),90.175.781.818,-,-,90.175.781.818,90175781818.0,,,90175781818.0
