row_label_raw,row_label_full,Công ty Cổ phầnKhai thác và Quản lýKhu công nghiệpĐặng Huỳnh,Bên liên quan,Hợp đồng hợp tác kinh doanh,244.500.000.000,244.500.000.000_1,numeric__Bên liên quan,numeric__Hợp đồng hợp tác kinh doanh,numeric__244.500.000.000,numeric__244.500.000.000_1
Bà Huỳnh Thảo Linh,Bà Huỳnh Thảo Linh,Bà Huỳnh Thảo Linh,Bên liên quan,Thu hộ,-,34.145.765.000,,,,34145765000.0
Công ty Cổ phần Bao bì và Kho bãi Bình Tây,Công ty Cổ phần Bao bì và Kho bãi Bình Tây,Công ty Cổ phần Bao bì và Kho bãi Bình Tây,Bên liên quan,Hợp đồng hợp tác kinh doanh,-,21.818.000.000,,,,21818000000.0
Ông Trần Lam Thông,Ông Trần Lam Thông,Ông Trần Lam Thông,Bên liên quan,Thu hộ,695.000.000,13.789.678.034,,,695000000.0,13789678034.0
Bà Nguyễn Thùy Vân,Bà Nguyễn Thùy Vân,Bà Nguyễn Thùy Vân,Chủ tịch,Đặt cọc mua căn hộ,-,2.870.049.285,,,,2870049285.0
Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,Bên liên quan,Chi phí tư vấn,2.000.000.000,2.000.000.000,,,2000000000.0,2000000000.0
Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Thành viên HĐQT,Khác,1.116.057.747,1.038.843.225,,,1116057747.0,1038843225.0
Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Cổ đông,Lãi vay,1.063.042.465,734.542.465,,,1063042465.0,734542465.0
Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Bên liên quan,Chi phí tư vấn,88.851.000,88.851.000,,,88851000.0,88851000.0
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông lớn,Lãi vay,-,87.739.726,,,,87739726.0
Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty trong cùng Tập đoàn,Khác,-,32.621.918,,,,32621918.0
