row_label_raw,row_label_full,Tên công ty liên kết,Tỉnh trạng,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ sở hữu (%),Số cuối năm > Quyền biểu quyết (%),Số cuối năm > Giá trị ghi số VND,Số đầu năm > Tỷ lệ sở hữu (%),Số đầu năm > Quyền biểu quyết (%),Số đầu năm > Giá trị ghi số VND,numeric__Tỉnh trạng,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu (%),numeric__Số cuối năm > Quyền biểu quyết (%),numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số đầu năm > Tỷ lệ sở hữu (%),numeric__Số đầu năm > Quyền biểu quyết (%),numeric__Số đầu năm > Giá trị ghi số VND
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Đang hoạt động,Bất động sản và dịch vụ thương mại,"22,51",(i),70.068.263.987,"12,51",(i),20.671.255.368,,,22.51,,70068263987.0,12.51,,20671255368.0
Công ty Cổ phần Đầu tư Xây dựng Long An – IDICO,Công ty Cổ phần Đầu tư Xây dựng Long An – IDICO,Công ty Cổ phần Đầu tư Xây dựng Long An – IDICO,Đang hoạt động,Bất động sản và dịch vụ thương mại,"23,98",24,34.716.404.145,"23,98",24,32.038.743.256,,,23.98,24.0,34716404145.0,23.98,24.0,32038743256.0
Công ty Cổ phần Đầu tư Địa ốc Kim Thành (“Kim Thành”),Công ty Cổ phần Đầu tư Địa ốc Kim Thành (“Kim Thành”),Công ty Cổ phần Đầu tư Địa ốc Kim Thành (“Kim Thành”),Đang hoạt động,Bất động sản,"48,00","48,00",9.918.813.065,"48,00","48,00",10.406.182.266,,,48.0,48.0,9918813065.0,48.0,48.0,10406182266.0
Công ty Cổ phần Đầu tư SVG,Công ty Cổ phần Đầu tư SVG,Công ty Cổ phần Đầu tư SVG,Đang hoạt động,Sản xuất và xây dựng,"50,00",(ii),189.823.491,"50,00",(ii),189.823.491,,,50.0,,189823491.0,50.0,,189823491.0
Công ty Cổ phần Sản xuất Xây dựng Dịch vụ Hoa Đồng (“Hoa Đồng”),Công ty Cổ phần Sản xuất Xây dựng Dịch vụ Hoa Đồng (“Hoa Đồng”),Công ty Cổ phần Sản xuất Xây dựng Dịch vụ Hoa Đồng (“Hoa Đồng”),Đang hoạt động,Bất động sản và dịch vụ thương mại,,,,"34,47","36,90",94.277.458.412,,,,,,34.47,36.9,94277458412.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,,114.893.304.688,,,157.583.462.793,,,,,114893304688.0,,,157583462793.0
