row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Lỗ lũy kế,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Lỗ lũy kế,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.146.078.400.000,63.607.862.467,(552.965.000),16.176.475.297,(2.091.834.348.411),133.475.424.353,2146078400000.0,63607862467.0,-552965000.0,16176475297.0,-2091834348411.0,133475424353.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,965.904.620.000,(620.383.493.313),-,-,-,345.521.126.687,965904620000.0,-620383493313.0,,,,345521126687.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(963.408.903.533),(963.408.903.533),,,,,-963408903533.0,-963408903533.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.111.983.020.000,(556.775.630.846),(552.965.000),16.176.475.297,(3.055.243.251.944),(484.412.352.493),3111983020000.0,-556775630846.0,-552965000.0,16176475297.0,-3055243251944.0,-484412352493.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.111.983.020.000,(556.775.630.846),(552.965.000),16.176.475.297,(3.055.243.251.944),(484.412.352.493),3111983020000.0,-556775630846.0,-552965000.0,16176475297.0,-3055243251944.0,-484412352493.0
Phát hành cổ phiếu quỹ (*),Năm nay > Phát hành cổ phiếu quỹ (*),Phát hành cổ phiếu quỹ (*),-,27.458.923.936,23.746.974.660,-,-,51.205.898.596,,27458923936.0,23746974660.0,,,51205898596.0
Nhận bồi thường bằng cổ phiếu (*),Năm nay > Nhận bồi thường bằng cổ phiếu (*),Nhận bồi thường bằng cổ phiếu (*),-,-,(33.704.774.370),-,-,(33.704.774.370),,,-33704774370.0,,,-33704774370.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,5.614.171.829,5.614.171.829,,,,,5614171829.0,5614171829.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.111.983.020.000,(529.316.706.910),(10.510.764.710),16.176.475.297,(3.049.629.080.115),(461.297.056.438),3111983020000.0,-529316706910.0,-10510764710.0,16176475297.0,-3049629080115.0,-461297056438.0
