row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Nguyên liệu vật liệu,Nguyên liệu vật liệu,Nguyên liệu vật liệu,475.568.440.111,(148.388.141.158),507.108.102.150,(328.470.629.374),475568440111.0,-148388141158.0,507108102150.0,-328470629374.0
Công cụ dụng cụ,Công cụ dụng cụ,Công cụ dụng cụ,2.185.272.947,-,2.283.457.042,-,2185272947.0,,2283457042.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,172.530.638.727,(35.204.522.317),179.437.818.803,(69.550.405.037),172530638727.0,-35204522317.0,179437818803.0,-69550405037.0
Chi phí dở dang hàng sản xuất,Chi phí dở dang hàng sản xuất,Chi phí dở dang hàng sản xuất,104.988.499.971,(27.229.489.198),103.940.075.625,(50.843.218.420),104988499971.0,-27229489198.0,103940075625.0,-50843218420.0
"Chi phí trồng rừng Huyện Krông Pắk, Tĩnh Đắk Lắk","Chi phí trồng rừng Huyện Krông Pắk, Tĩnh Đắk Lắk","Chi phí trồng rừng Huyện Krông Pắk, Tĩnh Đắk Lắk",44.861.061.584,(6.676.761.584),44.750.046.734,(6.565.746.734),44861061584.0,-6676761584.0,44750046734.0,-6565746734.0
Chi phí dở dang công trình lắp đặt,Chi phí dở dang công trình lắp đặt,Chi phí dở dang công trình lắp đặt,22.681.077.172,(1.298.271.535),30.747.696.444,(12.141.439.883),22681077172.0,-1298271535.0,30747696444.0,-12141439883.0
Thành phẩm,Thành phẩm,Thành phẩm,131.941.789.309,(51.824.107.609),160.878.650.549,(79.762.262.913),131941789309.0,-51824107609.0,160878650549.0,-79762262913.0
Hàng hóa,Hàng hóa,Hàng hóa,8.756.440.935,(3.301.714.160),6.246.462.491,(5.244.318.408),8756440935.0,-3301714160.0,6246462491.0,-5244318408.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,790.982.582.029,(238.718.485.244),855.954.491.035,(483.027.615.732),790982582029.0,-238718485244.0,855954491035.0,-483027615732.0
Một phần giá trị hàng tồn kho đã được dùng để thể chấp nhằm đảm bảo cho các khoản vay của Công ty (TM số 22).,Một phần giá trị hàng tồn kho đã được dùng để thể chấp nhằm đảm bảo cho các khoản vay của Công ty (TM số 22).,Một phần giá trị hàng tồn kho đã được dùng để thể chấp nhằm đảm bảo cho các khoản vay của Công ty (TM số 22).,Một phần giá trị hàng tồn kho đã được dùng để thể chấp nhằm đảm bảo cho các khoản vay của Công ty (TM số 22).,Một phần giá trị hàng tồn kho đã được dùng để thể chấp nhằm đảm bảo cho các khoản vay của Công ty (TM số 22).,Một phần giá trị hàng tồn kho đã được dùng để thể chấp nhằm đảm bảo cho các khoản vay của Công ty (TM số 22).,Một phần giá trị hàng tồn kho đã được dùng để thể chấp nhằm đảm bảo cho các khoản vay của Công ty (TM số 22).,,,,
Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho:,Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho:,Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho:,Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho:,Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho:,Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho:,Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho:,,,,
,,,,,Năm nay,VNDNăm trước,,,,
Số đầu năm,Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho: > Số đầu năm,Số đầu năm,,,(483.027.615.732),(212.976.605.103),,,-483027615732.0,-212976605103.0
Dự phòng trong năm,Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho: > Dự phòng trong năm,Dự phòng trong năm,,,(7.277.493.720),(291.710.959.230),,,-7277493720.0,-291710959230.0
"Hoàn nhập dự phòng, sử dụng trong năm","Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho: > Hoàn nhập dự phòng, sử dụng trong năm","Hoàn nhập dự phòng, sử dụng trong năm",,,251.586.624.208,21.659.948.601,,,251586624208.0,21659948601.0
Số cuối năm,Chi tiết tỉnh hình tăng giảm dự phòng giảm giá hàng tồn kho: > Số cuối năm,Số cuối năm,,,(238.718.485.244),(483.027.615.732),,,-238718485244.0,-483027615732.0
