row_label_raw,row_label_full,Tên công ty con,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,Địa điểm,Ngành nghề kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2,numeric__Địa điểm,numeric__Ngành nghề kinh doanh
Tên công ty con,Tên công ty con,Tên công ty con,Tỷ lệ sở hữu và biểu quyết(%),Giá gốcVND,Dự phòngVND,Tỷ lệ sở hữu và biểu quyết(%),Giá gốcVND,Dự phòngVND,Địa điểm,Ngành nghề kinh doanh,,,,,,,,
Công ty TNHH MTV Sử Thiên Thanh,Tên công ty con > Công ty TNHH MTV Sử Thiên Thanh,Công ty TNHH MTV Sử Thiên Thanh,"100,00",345.793.853.960,-,"100,00",345.793.853.960,-,Bình Dương,Thiết bị vệ sinh,100.0,345793853960.0,,100.0,345793853960.0,,,
Công ty Cổ phần Lâm nghiệp Trường Thành,Tên công ty con > Công ty Cổ phần Lâm nghiệp Trường Thành,Công ty Cổ phần Lâm nghiệp Trường Thành,"99,97",59.564.847.684,(13.921.363.090),"99,97",59.564.847.684,(8.904.847.684),Đắk Lắk,Trồng rừng,99.97,59564847684.0,-13921363090.0,99.97,59564847684.0,-8904847684.0,,
Công ty Cổ phần Central Wood,Tên công ty con > Công ty Cổ phần Central Wood,Công ty Cổ phần Central Wood,"51,00",30.600.000.000,-,-,-,-,Bình Định,Sản xuất đồ gỗ,51.0,30600000000.0,,,,,,
Công ty Cổ phần Trường Thành Xanh,Tên công ty con > Công ty Cổ phần Trường Thành Xanh,Công ty Cổ phần Trường Thành Xanh,"99,98",27.777.683.305,(23.206.856.961),"99,98",27.777.683.305,(20.883.550.603),Phú Yên,Trồng rừng,99.98,27777683305.0,-23206856961.0,99.98,27777683305.0,-20883550603.0,,
Công ty Cổ phần Trồng rừng Trường Thành,Tên công ty con > Công ty Cổ phần Trồng rừng Trường Thành,Công ty Cổ phần Trồng rừng Trường Thành,"97,24",26.809.360.000,(18.355.980.608),"79,89",26.809.360.000,(16.773.826.507),Đắk Lắk,Trồng rừng,97.24,26809360000.0,-18355980608.0,79.89,26809360000.0,-16773826507.0,,
Công ty Cổ phần Trường Thành,Tên công ty con > Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,"77,78",21.000.000.000,(21.000.000.000),"70,00",21.000.000.000,(21.000.000.000),Đắk Lắk,Sản xuất đồ gỗ,77.78,21000000000.0,-21000000000.0,70.0,21000000000.0,-21000000000.0,,
Công ty Cổ phần Chế biến Gỗ Trường Thành,Tên công ty con > Công ty Cổ phần Chế biến Gỗ Trường Thành,Công ty Cổ phần Chế biến Gỗ Trường Thành,"76,96",19.600.000.000,(19.600.000.000),"70,00",19.600.000.000,(19.600.000.000),Đắk Lắk,Sản xuất đồ gỗ,76.96,19600000000.0,-19600000000.0,70.0,19600000000.0,-19600000000.0,,
Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drắk,Tên công ty con > Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drắk,Công ty Cổ phần Chế biến Gỗ Trường Thành M'Drắk,"97,00",9.885.456.454,(9.885.456.454),"90,25",9.885.456.454,(9.885.456.454),Đắk Lắk,Sản xuất đồ gỗ,97.0,9885456454.0,-9885456454.0,90.25,9885456454.0,-9885456454.0,,
Công ty Cổ phần Đồ gỗ Casadora,Tên công ty con > Công ty Cổ phần Đồ gỗ Casadora,Công ty Cổ phần Đồ gỗ Casadora,"60,00",8.280.000.000,(8.280.000.000),"60,00",8.280.000.000,(2.242.667.977),Bình Dương,Sản xuất đồ gỗ,60.0,8280000000.0,-8280000000.0,60.0,8280000000.0,-2242667977.0,,
Công ty Cổ phần Quản lý Cụm Công nghiệp Trường Thành - Ea H'leo,Tên công ty con > Công ty Cổ phần Quản lý Cụm Công nghiệp Trường Thành - Ea H'leo,Công ty Cổ phần Quản lý Cụm Công nghiệp Trường Thành - Ea H'leo,"97,30",5.400.000.000,(5.400.000.000),"97,30",5.400.000.000,(5.400.000.000),Đắk Lắk,Khu Công nghiệp,97.3,5400000000.0,-5400000000.0,97.3,5400000000.0,-5400000000.0,,
TỔNG CỘNG,Tên công ty con > TỔNG CỘNG,TỔNG CỘNG,,554.711.201.403,(119.649.657.113),,524.111.201.403,(104.690.349.225),,,,554711201403.0,-119649657113.0,,524111201403.0,-104690349225.0,,
