row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,64.764.238.627,3.793.911.470,64764238627.0,3793911470.0
"Các khoản phạt, bồi thường","Các khoản phạt, bồi thường","Các khoản phạt, bồi thường",58.743.822.739,2.526.850.814,58743822739.0,2526850814.0
Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,4.882.967.436,-,4882967436.0,
Khác,Khác,Khác,1.137.448.452,1.267.060.656,1137448452.0,1267060656.0
Chi phí khác,Chi phí khác,Chi phí khác,(8.764.185.550),(104.953.510.915),-8764185550.0,-104953510915.0
Chi phí phạt,Chi phí phạt,Chi phí phạt,(4.249.039.490),(49.394.084.409),-4249039490.0,-49394084409.0
Lỗ từ thanh lý tài sản,Lỗ từ thanh lý tài sản,Lỗ từ thanh lý tài sản,(3.075.881.450),-,-3075881450.0,
Hao mòn tài sản không còn sử dụng,Hao mòn tài sản không còn sử dụng,Hao mòn tài sản không còn sử dụng,-,(54.059.541.746),,-54059541746.0
Khác,Khác,Khác,(1.439.264.610),(1.499.884.760),-1439264610.0,-1499884760.0
LỢI NHUẬN (LỔ) KHÁC,LỢI NHUẬN (LỔ) KHÁC,LỢI NHUẬN (LỔ) KHÁC,56.000.053.077,(101.159.599.445),56000053077.0,-101159599445.0
