row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,394.458.816.420,43.814.315.262,394458816420.0,43814315262.0
Khoản phải trả liên quan đến việc sử dụng tài sản để cán trừ nợ vay (*),Khoản phải trả liên quan đến việc sử dụng tài sản để cán trừ nợ vay (*),Khoản phải trả liên quan đến việc sử dụng tài sản để cán trừ nợ vay (*),342.445.500.407,-,342445500407.0,
Lãi chậm nộp,Lãi chậm nộp,Lãi chậm nộp,33.657.584.727,29.818.897.893,33657584727.0,29818897893.0
"Bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp","Bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp","Bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp",3.435.405.345,5.065.361.667,3435405345.0,5065361667.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,2.881.228.976,2.451.165.349,2881228976.0,2451165349.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",12.039.096.965,6.478.890.353,12039096965.0,6478890353.0
Dài hạn,Dài hạn,Dài hạn,640.000.000,342.445.500.407,640000000.0,342445500407.0
Đặt cọc,Đặt cọc,Đặt cọc,640.000.000,-,640000000.0,
Khoản phải trả liên quan đến việc sử dụng tài sản để cán trừ nợ vay (*),Khoản phải trả liên quan đến việc sử dụng tài sản để cán trừ nợ vay (*),Khoản phải trả liên quan đến việc sử dụng tài sản để cán trừ nợ vay (*),-,342.445.500.407,,342445500407.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,395.098.816.420,386.259.815.669,395098816420.0,386259815669.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,393.011.602.587,386.030.390.818,393011602587.0,386030390818.0
Phải trả bên liên quan (TM số 31),Trong đó: > Phải trả bên liên quan (TM số 31),Phải trả bên liên quan (TM số 31),2.087.213.833,229.424.851,2087213833.0,229424851.0
