row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Máy móc vàthiết bị,Phương tiệnvận tải,Thiết bị văn phòng,VNDTổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Máy móc vàthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bị văn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,110.418.429.952,242.403.551.724,11.936.165.334,5.884.249.761,370.642.396.771,110418429952.0,242403551724.0,11936165334.0,5884249761.0,370642396771.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,9.607.573.532,30.619.053.697,287.272.727,422.660.000,40.936.559.956,9607573532.0,30619053697.0,287272727.0,422660000.0,40936559956.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,375.629.001,37.085.634.961,-,-,37.461.263.962,375629001.0,37085634961.0,,,37461263962.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(731.507.215),(40.677.263.474),(1.846.923.624),-,(43.255.694.313),-731507215.0,-40677263474.0,-1846923624.0,,-43255694313.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,119.670.125.270,269.430.976.908,10.376.514.437,6.306.909.761,405.784.526.376,119670125270.0,269430976908.0,10376514437.0,6306909761.0,405784526376.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,70.754.000,76.095.714.861,7.297.099.250,2.282.534.411,85.746.102.522,70754000.0,76095714861.0,7297099250.0,2282534411.0,85746102522.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(33.587.835.185),(186.273.166.673),(10.708.678.345),(2.897.106.023),(233.466.786.226),-33587835185.0,-186273166673.0,-10708678345.0,-2897106023.0,-233466786226.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(2.315.273.845),(11.113.262.825),(264.688.291),(453.720.036),(14.146.944.997),-2315273845.0,-11113262825.0,-264688291.0,-453720036.0,-14146944997.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",518.373.901,38.746.965.124,1.739.617.309,-,41.004.956.334,518373901.0,38746965124.0,1739617309.0,,41004956334.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(35.384.735.129),(158.639.464.374),(9.233.749.327),(3.350.826.059),(206.608.774.889),-35384735129.0,-158639464374.0,-9233749327.0,-3350826059.0,-206608774889.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,76.830.594.767,56.130.385.051,1.227.486.989,2.987.143.738,137.175.610.545,76830594767.0,56130385051.0,1227486989.0,2987143738.0,137175610545.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,84.285.390.141,110.791.512.534,1.142.765.110,2.956.083.702,199.175.751.487,84285390141.0,110791512534.0,1142765110.0,2956083702.0,199175751487.0
