row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Phân loại lại,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Phân loại lại,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,123.292.700.000,16.900.000.000,(9.000.000),362.853.767.131,503.037.467.131,123292700000.0,16900000000.0,-9000000.0,362853767131.0,503037467131.0
Vay ngân hàng (TM số 22.1),Vay ngân hàng (TM số 22.1),Vay ngân hàng (TM số 22.1),123.292.700.000,-,(9.000.000),-,123.283.700.000,123292700000.0,,-9000000.0,,123283700000.0
Vay dài hạn cá nhân đến hạn trả (TM số 22.2),Vay dài hạn cá nhân đến hạn trả (TM số 22.2),Vay dài hạn cá nhân đến hạn trả (TM số 22.2),-,-,-,362.853.767.131,362.853.767.131,,,,362853767131.0,362853767131.0
Vay bên liên quan (TM số 31),Vay bên liên quan (TM số 31),Vay bên liên quan (TM số 31),-,16.900.000.000,-,-,16.900.000.000,,16900000000.0,,,16900000000.0
Dài hạn,Dài hạn,Dài hạn,362.853.767.131,-,-,(362.853.767.131),-,362853767131.0,,,-362853767131.0,
Vay cá nhân (TM số 22.2),Vay cá nhân (TM số 22.2),Vay cá nhân (TM số 22.2),362.853.767.131,-,-,(362.853.767.131),-,362853767131.0,,,-362853767131.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,486.146.467.131,16.900.000.000,(9.000.000),-,503.037.467.131,486146467131.0,16900000000.0,-9000000.0,,503037467131.0
