row_label_raw,row_label_full,Cổ tức phải trả trong năm cho Ông Đoàn Tiến Trung tại,Năm 2022VND > Cổ tức phải trả trong năm cho Ông Đoàn Tiến Trung tại,Năm 2021VND > Cổ tức phải trả trong năm cho Ông Đoàn Tiến Trung tại,numeric__Năm 2022VND > Cổ tức phải trả trong năm cho Ông Đoàn Tiến Trung tại,numeric__Năm 2021VND > Cổ tức phải trả trong năm cho Ông Đoàn Tiến Trung tại
Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,28.431.792.897,-,28431792897.0,
Công ty CP Đầu tư và Phát triển Vân Đồng,Công ty CP Đầu tư và Phát triển Vân Đồng,Công ty CP Đầu tư và Phát triển Vân Đồng,15.000.000.000,-,15000000000.0,
Cổ tức đã trả trong năm cho Ông Đoàn Tiến Trung tại,Cổ tức đã trả trong năm cho Ông Đoàn Tiến Trung tại,Cổ tức đã trả trong năm cho Ông Đoàn Tiến Trung tại,Cổ tức đã trả trong năm cho Ông Đoàn Tiến Trung tại,Cổ tức đã trả trong năm cho Ông Đoàn Tiến Trung tại,,
Công ty CP Phát triển nhà và Đô thị Phú Quốc,Cổ tức đã trả trong năm cho Ông Đoàn Tiến Trung tại > Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,60.417.559.905,-,60417559905.0,
b) Số dư với các bên liên quan,b) Số dư với các bên liên quan,b) Số dư với các bên liên quan,31/12/2022VND,01/01/2022VND,,
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,,
Đoàn Tiến Trung,Cổ tức phải trả > Đoàn Tiến Trung,Đoàn Tiến Trung,15.000.000.000,31.985.767.008,15000000000.0,31985767008.0
c) Thu nhập của các thành viên quản lý chủ chốt được hưởng trong năm như sau:,c) Thu nhập của các thành viên quản lý chủ chốt được hưởng trong năm như sau:,c) Thu nhập của các thành viên quản lý chủ chốt được hưởng trong năm như sau:,c) Thu nhập của các thành viên quản lý chủ chốt được hưởng trong năm như sau:,c) Thu nhập của các thành viên quản lý chủ chốt được hưởng trong năm như sau:,,
,,,Năm 2022VND,Năm 2021VND,,
Thu nhập của các thành viên quản lý chủ chốt,c) Thu nhập của các thành viên quản lý chủ chốt được hưởng trong năm như sau: > Thu nhập của các thành viên quản lý chủ chốt,Thu nhập của các thành viên quản lý chủ chốt,9.054.643.565,6.087.721.988,9054643565.0,6087721988.0
Thù lao của các thành viên Hội đồng quản trị và ban kiểm soát,c) Thu nhập của các thành viên quản lý chủ chốt được hưởng trong năm như sau: > Thù lao của các thành viên Hội đồng quản trị và ban kiểm soát,Thù lao của các thành viên Hội đồng quản trị và ban kiểm soát,580.000.000,588.000.000,580000000.0,588000000.0
Cộng (*),c) Thu nhập của các thành viên quản lý chủ chốt được hưởng trong năm như sau: > Cộng (*),Cộng (*),9.634.643.565,6.675.721.988,9634643565.0,6675721988.0
