row_label_raw,row_label_full,col_0,Số trước điều chỉnhVND,Số điều chỉnhVND,Số sau điều chỉnhVND,numeric__Số trước điều chỉnhVND,numeric__Số điều chỉnhVND,numeric__Số sau điều chỉnhVND
Lợi nhuận kế toán sau thuế TNDN,Lợi nhuận kế toán sau thuế TNDN,Lợi nhuận kế toán sau thuế TNDN,93.150.401.484,-,93.150.401.484,93150401484.0,,93150401484.0
Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán để xác định lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu phổ thông:,Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán để xác định lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu phổ thông:,Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán để xác định lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu phổ thông:,-,(8.924.654.931),(8.924.654.931),,-8924654931.0,-8924654931.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,-,(8.924.654.931),(8.924.654.931),,-8924654931.0,-8924654931.0
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,(8.924.654.931),(8.924.654.931),,-8924654931.0,-8924654931.0
Lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,93.150.401.484,(8.924.654.931),84.225.746.553,93150401484.0,-8924654931.0,84225746553.0
Cổ phiếu phổ thông đang lưu hành bình quân trong năm,Cổ phiếu phổ thông đang lưu hành bình quân trong năm,Cổ phiếu phổ thông đang lưu hành bình quân trong năm,257.339.985,-,257.339.985,257339985.0,,257339985.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,"361,97",,"327,29",361.97,,327.29
