row_label_raw,row_label_full,N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Lợi thế thương mại > Khoản mục,N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Lợi thế thương mại > Công ty CP Đầu tư và Phát triển Phú Quốc,N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Lợi thế thương mại > Công ty CP Đầu tư BMC - CEO,N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Lợi thế thương mại > Công ty CP Phát triển nhà và Đô thị Phú Quốc,N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Lợi thế thương mại > Công ty Cổ phần Đầu tư và Phát triển Nha Trang,N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Lợi thế thương mại > Các công ty con khác,N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Lợi thế thương mại > Đơn vị tính: VND Tổng cộng,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Lợi thế thương mại > Công ty CP Đầu tư và Phát triển Phú Quốc,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Lợi thế thương mại > Công ty CP Đầu tư BMC - CEO,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Lợi thế thương mại > Công ty CP Phát triển nhà và Đô thị Phú Quốc,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Lợi thế thương mại > Công ty Cổ phần Đầu tư và Phát triển Nha Trang,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Lợi thế thương mại > Các công ty con khác,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Lợi thế thương mại > Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,
Số dư ngày 01/01/2022,Nguyên giá > Số dư ngày 01/01/2022,Số dư ngày 01/01/2022,90.029.000.000,13.683.536.032,127.838.439.012,45.859.856.714,2.084.622.197,279.495.453.955,90029000000.0,13683536032.0,127838439012.0,45859856714.0,2084622197.0,279495453955.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,-,-,172.051.685,172.051.685,,,,,172051685.0,172051685.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(13.683.536.032),-,-,-,(13.683.536.032),,-13683536032.0,,,,-13683536032.0
Số dư ngày 31/12/2022,Nguyên giá > Số dư ngày 31/12/2022,Số dư ngày 31/12/2022,90.029.000.000,-,127.838.439.012,45.859.856.714,2.256.673.882,265.983.969.608,90029000000.0,,127838439012.0,45859856714.0,2256673882.0,265983969608.0
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,,,,,,,,,,,,
Số dư ngày 01/01/2022,Giá trị phân bổ lũy kế > Số dư ngày 01/01/2022,Số dư ngày 01/01/2022,90.029.000.000,13.683.536.032,66.049.860.152,18.342.836.160,146.622.197,188.251.854.541,90029000000.0,13683536032.0,66049860152.0,18342836160.0,146622197.0,188251854541.0
Phân bổ trong năm,Giá trị phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,-,-,12.783.843.900,4.585.709.040,319.297.704,17.688.850.644,,,12783843900.0,4585709040.0,319297704.0,17688850644.0
Giảm trong năm,Giá trị phân bổ lũy kế > Giảm trong năm,Giảm trong năm,-,(13.683.536.032),-,-,-,(13.683.536.032),,-13683536032.0,,,,-13683536032.0
Số dư ngày 31/12/2022,Giá trị phân bổ lũy kế > Số dư ngày 31/12/2022,Số dư ngày 31/12/2022,90.029.000.000,-,78.833.704.052,22.928.545.200,465.919.901,192.257.169.153,90029000000.0,,78833704052.0,22928545200.0,465919901.0,192257169153.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,
Tại ngày 01/01/2022,Giá trị còn lại > Tại ngày 01/01/2022,Tại ngày 01/01/2022,-,-,61.788.578.860,27.517.020.554,1.938.000.000,91.243.599.414,,,61788578860.0,27517020554.0,1938000000.0,91243599414.0
Tại ngày 31/12/2022,Giá trị còn lại > Tại ngày 31/12/2022,Tại ngày 31/12/2022,-,-,49.004.734.960,22.931.311.514,1.790.753.981,73.726.800.455,,,49004734960.0,22931311514.0,1790753981.0,73726800455.0
