row_label_raw,row_label_full,3. Số tiền đã thực trả gốc vay trong năm,3. Số tiền đã thực trả gốc vay trong năm_1,3. Số tiền đã thực trả gốc vay trong năm_2,numeric__3. Số tiền đã thực trả gốc vay trong năm_1,numeric__3. Số tiền đã thực trả gốc vay trong năm_2
Tiền trả nợ gốc vay theo khế ước thông thường,Tiền trả nợ gốc vay theo khế ước thông thường,Tiền trả nợ gốc vay theo khế ước thông thường,3.251.302.058.095,1.214.195.555.369,3251302058095.0,1214195555369.0
Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,-,2.138.583.346,,2138583346.0
