row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị",Phương tiện vận tải,"Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Đơn vị tính: VND Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,"numeric__Thiết bị, dụng cụ quản lý",numeric__Tài sản cố định khác,numeric__Đơn vị tính: VND Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư ngày 01/01/2022,Nguyên giá > Số dư ngày 01/01/2022,Số dư ngày 01/01/2022,1.552.761.231.575,84.592.474.565,61.310.738.961,9.303.362.766,7.308.283.863,1.715.276.091.730,1552761231575.0,84592474565.0,61310738961.0,9303362766.0,7308283863.0,1715276091730.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,230.878.596,1.470.427.443,11.313.156.182,714.891.138,108.090.000,13.837.443.359,230878596.0,1470427443.0,11313156182.0,714891138.0,108090000.0,13837443359.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,1.995.460.500,-,-,-,-,1.995.460.500,1995460500.0,,,,,1995460500.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(31.545.455),(6.336.064.870),-,-,(6.367.610.325),,-31545455.0,-6336064870.0,,,-6367610325.0
Số dư ngày 31/12/2022,Nguyên giá > Số dư ngày 31/12/2022,Số dư ngày 31/12/2022,1.554.987.570.671,86.031.356.553,66.287.830.273,10.018.253.904,7.416.373.863,1.724.741.385.264,1554987570671.0,86031356553.0,66287830273.0,10018253904.0,7416373863.0,1724741385264.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư ngày 01/01/2022,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2022,Số dư ngày 01/01/2022,211.764.543.849,53.518.812.616,42.681.992.208,7.009.044.390,5.764.438.907,320.738.831.970,211764543849.0,53518812616.0,42681992208.0,7009044390.0,5764438907.0,320738831970.0
Khẩu hao trong năm,Giá trị hao mòn luỹ kế > Khẩu hao trong năm,Khẩu hao trong năm,45.542.158.573,6.442.266.720,6.659.360.167,1.197.291.404,792.004.358,60.633.081.222,45542158573.0,6442266720.0,6659360167.0,1197291404.0,792004358.0,60633081222.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(31.545.455),(5.966.754.941),-,-,(5.998.300.396),,-31545455.0,-5966754941.0,,,-5998300396.0
Số dư ngày 31/12/2022,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2022,Số dư ngày 31/12/2022,257.306.702.422,59.929.533.881,43.374.597.434,8.206.335.794,6.556.443.265,375.373.612.796,257306702422.0,59929533881.0,43374597434.0,8206335794.0,6556443265.0,375373612796.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 01/01/2022,Giá trị còn lại > Tại ngày 01/01/2022,Tại ngày 01/01/2022,1.340.996.687.726,31.073.661.949,18.628.746.753,2.294.318.376,1.543.844.956,1.394.537.259.760,1340996687726.0,31073661949.0,18628746753.0,2294318376.0,1543844956.0,1394537259760.0
Tại ngày 31/12/2022,Giá trị còn lại > Tại ngày 31/12/2022,Tại ngày 31/12/2022,1.297.680.868.249,26.101.822.672,22.913.232.839,1.811.918.110,859.930.598,1.349.367.772.468,1297680868249.0,26101822672.0,22913232839.0,1811918110.0,859930598.0,1349367772468.0
