row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2022,Đơn vị tính: VND 01/01/2022,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2022,numeric__Đơn vị tính: VND 01/01/2022
C,C,C,NỘ PHẢI TRẢ,300,,3.341.332.518.341,3.515.699.437.284,,300.0,,3341332518341.0,3515699437284.0
I,I,I,Nợ ngắn hạn,310,,2.426.012.282.336,2.192.825.376.722,,310.0,,2426012282336.0,2192825376722.0
1,1,1,Phải trả người bán ngắn hạn,311,V.12.,341.417.476.500,258.283.086.339,,311.0,,341417476500.0,258283086339.0
2,2,2,Người mua trả tiền trước ngắn hạn,312,V.13.,429.988.780.619,327.424.141.055,,312.0,,429988780619.0,327424141055.0
3,3,3,Thuế và các khoản phải nộp Nhà nước,313,V.15.,313.956.339.670,53.762.036.906,,313.0,,313956339670.0,53762036906.0
4,4,4,Phải trả người lao động,314,,16.888.949.939,12.041.352.477,,314.0,,16888949939.0,12041352477.0
5,5,5,Chi phí phải trả ngắn hạn,315,V.16.,194.909.460.088,407.746.287.862,,315.0,,194909460088.0,407746287862.0
6,6,6,Doanh thu chưa thực hiện ngắn hạn,318,V.18.,3.551.318.403,2.881.665.156,,318.0,,3551318403.0,2881665156.0
7,7,7,Phải trả ngắn hạn khác,319,V.19.,305.489.040.098,221.409.213.838,,319.0,,305489040098.0,221409213838.0
8,8,8,Vay và nợ thuê tài chính ngắn hạn,320,V.17.,747.700.454.064,840.748.053.800,,320.0,,747700454064.0,840748053800.0
9,9,9,"Quỹ khen thưởng, phúc lợi",322,,72.110.462.955,68.529.539.289,,322.0,,72110462955.0,68529539289.0
II,II,II,Nợ dài hạn,330,,915.320.236.005,1.322.874.060.562,,330.0,,915320236005.0,1322874060562.0
1,1,1,Chi phí phải trả dài hạn,333,V.16.,190.774.481.144,121.674.991.135,,333.0,,190774481144.0,121674991135.0
2,2,2,Doanh thu chưa thực hiện dài hạn,336,V.18.,208.891.859.207,214.150.622.016,,336.0,,208891859207.0,214150622016.0
3,3,3,Phải trả dài hạn khác,337,V.19.,37.449.554.549,40.259.562.487,,337.0,,37449554549.0,40259562487.0
4,4,4,Vay và nợ thuê tài chính dài hạn,338,V.17.,417.562.249.549,906.291.129.625,,338.0,,417562249549.0,906291129625.0
5,5,5,Thuế thu nhập hoãn lại phải trả,341,,60.006.577.035,40.497.755.299,,341.0,,60006577035.0,40497755299.0
6,6,6,Dự phòng phải trả dài hạn,342,,635.514.521,-,,342.0,,635514521.0,
D,D,D,VỐN CHỦ SỞ HỮU,400,,3.719.154.879.804,3.534.352.256.375,,400.0,,3719154879804.0,3534352256375.0
I,I,I,Vốn chủ sở hữu,410,V.20.,3.719.154.879.804,3.534.352.256.375,,410.0,,3719154879804.0,3534352256375.0
1,1,1,Vốn góp của chủ sở hữu,411,,2.573.399.850.000,2.573.399.850.000,,411.0,,2573399850000.0,2573399850000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.573.399.850.000,2.573.399.850.000,,,,2573399850000.0,2573399850000.0
2,2,2,Quỹ đầu tư phát triển,418,,170.458.196.924,164.382.321.475,,418.0,,170458196924.0,164382321475.0
3,3,3,Lợi nhuận sau thuế chưa phân phối,421,,522.641.547.554,262.852.904.612,,421.0,,522641547554.0,262852904612.0
,,,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,243.734.395.798,169.702.503.128,,,,243734395798.0,169702503128.0
,,,- LNST chưa phân phối năm nay,421b,,278.907.151.756,93.150.401.484,,,,278907151756.0,93150401484.0
4,4,4,Lợi ích cổ đông không kiểm soát,429,,452.655.285.326,533.717.180.288,,429.0,,452655285326.0,533717180288.0
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,7.060.487.398.145,7.050.051.693.659,,440.0,,7060487398145.0,7050051693659.0
