row_label_raw,row_label_full,1.,Tiền và các khoản tương đương tiền,31/12/2022,01/01/2022,numeric__Tiền và các khoản tương đương tiền,numeric__31/12/2022,numeric__01/01/2022
1.,1.,1.,Tiền và các khoản tương đương tiền,VND,VND,,,
,,,Tiền,82.486.952.916,201.551.369.169,,82486952916.0,201551369169.0
,,,Tiền mặt,14.276.735.001,19.988.566.218,,14276735001.0,19988566218.0
,,,Tiền gửi ngân hàng,68.210.217.915,181.562.802.951,,68210217915.0,181562802951.0
,,,Các khoản tương đương tiền (*),325.415.326.275,117.500.000.000,,325415326275.0,117500000000.0
,,,Cộng,407.902.279.191,319.051.369.169,,407902279191.0,319051369169.0
