row_label_raw,row_label_full,Chỉ tiêu > Số dư tại ngày 01/01/2021 > Lãi trong năm > Lợi ích cổ đông không kiểm soát tại ngày mua > Lỗ trong năm,Vốn góp của chủ sở hữu > 2.573.399.850.000 > -,Lợi nhuận sau thuế chưa phân phối > 172.752.470.445 > 93.150.401.484 > -,Lợi ích cổ đông không kiểm soát > 545.840.839.624 > - > 2.940.000.000 > (11.010.330.178),Đơn vị tính: VND Cộng > 3.291.993.160.069 > 93.150.401.484 > 2.940.000.000 > (11.010.330.178),numeric__Vốn góp của chủ sở hữu > 2.573.399.850.000 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 172.752.470.445 > 93.150.401.484 > -,numeric__Lợi ích cổ đông không kiểm soát > 545.840.839.624 > - > 2.940.000.000 > (11.010.330.178),numeric__Đơn vị tính: VND Cộng > 3.291.993.160.069 > 93.150.401.484 > 2.940.000.000 > (11.010.330.178)
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(3.185.000.000),(3.185.000.000),,,-3185000000.0,-3185000000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,(30.130.805),-,(30.130.805),,-30130805.0,,-30130805.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,(1.512.676.972),(868.329.158),(2.381.006.130),,-1512676972.0,-868329158.0,-2381006130.0
Giảm khác,Giảm khác,Giảm khác,-,(1.507.159.540),-,(1.507.159.540),,-1507159540.0,,-1507159540.0
Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,2.573.399.850.000,262.852.904.612,533.717.180.288,3.369.969.934.900,2573399850000.0,262852904612.0,533717180288.0,3369969934900.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,278.907.151.756,31.708.158.746,310.615.310.502,,278907151756.0,31708158746.0,310615310502.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(109.265.059.678),(109.265.059.678),,,-109265059678.0,-109265059678.0
Tăng khác,Tăng khác,Tăng khác,-,1.507.159.540,-,1.507.159.540,,1507159540.0,,1507159540.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,(6.075.875.449),-,(6.075.875.449),,-6075875449.0,,-6075875449.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,(13.967.568.061),(2.169.886.175),(16.137.454.236),,-13967568061.0,-2169886175.0,-16137454236.0
Giảm khác,Giảm khác,Giảm khác,-,(582.224.844),(1.335.107.855),(1.917.332.699),,-582224844.0,-1335107855.0,-1917332699.0
Số dư tại ngày 31/12/2022,Số dư tại ngày 31/12/2022,Số dư tại ngày 31/12/2022,2.573.399.850.000,522.641.547.554,452.655.285.326,3.548.696.682.880,2573399850000.0,522641547554.0,452655285326.0,3548696682880.0
