row_label_raw,row_label_full,"Đầu tư vào các công ty con(Thuyết minh số 16.2.1) > Đầu tư vào các công ty liên kết, liên doanh(Thuyết minh số 16.2.2) > Đầu tư góp vốn vào đơn vị khác(Thuyết minh số 16.2.3)",Số cuối năm > 2.728.068.835.029 > 666.884.845.720 > 807.063.205.046,VND Số đầu năm > 2.281.120.889.126 > 1.000.725.395.720 > 803.276.618.246,numeric__Số cuối năm > 2.728.068.835.029 > 666.884.845.720 > 807.063.205.046,numeric__VND Số đầu năm > 2.281.120.889.126 > 1.000.725.395.720 > 803.276.618.246
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.202.016.885.795,4.085.122.903.092,4202016885795.0,4085122903092.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(462.355.728.421),(484.448.851.445),-462355728421.0,-484448851445.0
ĐẦU TƯ THUẦN,ĐẦU TƯ THUẦN,ĐẦU TƯ THUẦN,3.739.661.157.374,3.600.674.051.647,3739661157374.0,3600674051647.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Đầu tư vào các công ty con,Trong đó: > Đầu tư vào các công ty con,Đầu tư vào các công ty con,2.710.385.413.457,2.262.012.093.895,2710385413457.0,2262012093895.0
"Đầu tư vào các công ty liên kết, liên doanh","Trong đó: > Đầu tư vào các công ty liên kết, liên doanh","Đầu tư vào các công ty liên kết, liên doanh",646.065.340.958,974.594.763.042,646065340958.0,974594763042.0
Đầu tư góp vốn vào đơn vị khác,Trong đó: > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,383.210.402.959,364.067.194.710,383210402959.0,364067194710.0
