row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước(Trình bày lại -Thuyết minh số 33),numeric__Năm nay,numeric__VNDNăm trước(Trình bày lại -Thuyết minh số 33)
Chi phí hàng hóa,Chi phí hàng hóa,Chi phí hàng hóa,17.934.634.994.736,-,17934634994736.0,
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",7.755.993.869.290,5.224.039.628.568,7755993869290.0,5224039628568.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,952.173.558.156,841.080.353.675,952173558156.0,841080353675.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,380.758.282.795,298.522.753.488,380758282795.0,298522753488.0
Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,257.542.284.654,256.257.070.247,257542284654.0,256257070247.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",63.038.928.375,71.687.327.481,63038928375.0,71687327481.0
Dự phòng thuế tiêu thụ đặc biệt,Dự phòng thuế tiêu thụ đặc biệt,Dự phòng thuế tiêu thụ đặc biệt,-,644.773.753.170,,644773753170.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,-,149.260.092.015,,149260092015.0
Chi phí khác,Chi phí khác,Chi phí khác,129.243.697.206,133.631.969.901,129243697206.0,133631969901.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,27.473.385.615.212,7.619.252.948.545,27473385615212.0,7619252948545.0
