row_label_raw,row_label_full,Số đầu năm > Mua mới trong năm > Kết chuyển sang tài sản cố định hữu hình(Thuyết minh số 12) > Kết chuyển sang tài sản cố định vô hình(Thuyết minh số 13),Năm nay > 36.622.166.610 > 63.087.978.416 > (53.110.683.517) > (2.840.454.101),VNDNăm trước > 51.487.342.330 > 86.832.871.102 > (91.001.334.285) > (8.852.937.012),numeric__Năm nay > 36.622.166.610 > 63.087.978.416 > (53.110.683.517) > (2.840.454.101),numeric__VNDNăm trước > 51.487.342.330 > 86.832.871.102 > (91.001.334.285) > (8.852.937.012)
Kết chuyển sang chi phí,Kết chuyển sang chi phí,Kết chuyển sang chi phí,(14.542.456.972),(1.843.775.525),-14542456972.0,-1843775525.0
Số cuối năm,Số cuối năm,Số cuối năm,29.216.550.436,36.622.166.610,29216550436.0,36622166610.0
