row_label_raw,row_label_full,col_0,Đơn vị,Số cuối năm,Số đầu năm,numeric__Đơn vị,numeric__Số cuối năm,numeric__Số đầu năm
Ngoại tệ:,Ngoại tệ:,Ngoại tệ:,Ngoại tệ:,Ngoại tệ:,Ngoại tệ:,,,
Đô la Mỹ (USD),Ngoại tệ: > Đô la Mỹ (USD),Đô la Mỹ (USD),USD,113.337,115.299,,113337.0,115299.0
Đồng Euro (EUR),Ngoại tệ: > Đồng Euro (EUR),Đồng Euro (EUR),EUR,31.473,25.896,,31473.0,25896.0
Hàng hoá nhận giữ hộ,Hàng hoá nhận giữ hộ,Hàng hoá nhận giữ hộ,Hàng hoá nhận giữ hộ,Hàng hoá nhận giữ hộ,Hàng hoá nhận giữ hộ,,,
Nhấn,Hàng hoá nhận giữ hộ > Nhấn,Nhấn,Cái,9.996.000,-,,9996000.0,
Nắp,Hàng hoá nhận giữ hộ > Nắp,Nắp,Cái,21.100.000,11.520.000,,21100000.0,11520000.0
Foil nhôm chai,Hàng hoá nhận giữ hộ > Foil nhôm chai,Foil nhôm chai,Cái,-,5.348.748,,,5348748.0
Houblon,Hàng hoá nhận giữ hộ > Houblon,Houblon,Kg,7.755,-,,7755.0,
Maturex,Hàng hoá nhận giữ hộ > Maturex,Maturex,Kg,3.240,-,,3240.0,
Lon,Hàng hoá nhận giữ hộ > Lon,Lon,Cái,-,10.971.180,,,10971180.0
Két nhựa,Hàng hoá nhận giữ hộ > Két nhựa,Két nhựa,Cái,-,150.710,,,150710.0
