row_label_raw,row_label_full,col_0,Số đầu năm(dã được trình bày trước đây),Điều chỉnh lại,Phân loại lại,VND Số đầu năm(được trình bày lại),numeric__Số đầu năm(dã được trình bày trước đây),numeric__Điều chỉnh lại,numeric__Phân loại lại,numeric__VND Số đầu năm(được trình bày lại)
BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,,,,
Thuế và các khoản khác phải thu Nhà nước,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,105.152.082.088,10.181.126.878,-,115.333.208.966,105152082088.0,10181126878.0,,115333208966.0
Tài sản thuế thu nhập hoãn lại,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,408.666.281.680,434.340.258.527,-,843.006.540.207,408666281680.0,434340258527.0,,843006540207.0
Thuế và các khoản phải nộp Nhà nước,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,278.498.185.678,2.417.287.283.885,1.699.022.672.604,4.394.808.142.167,278498185678.0,2417287283885.0,1699022672604.0,4394808142167.0
Chi phí phải trả ngắn hạn,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,149.310.913.032,1.418.632.552,-,150.729.545.584,149310913032.0,1418632552.0,,150729545584.0
Dự phòng phải trả ngắn hạn,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,1.699.022.672.604,-,(1.699.022.672.604),-,1699022672604.0,,-1699022672604.0,
Lợi nhuận sau thuế chưa phân phối,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,4.806.002.258.433,(1.974.184.531.032),-,2.831.817.727.401,4806002258433.0,-1974184531032.0,,2831817727401.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > - Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,1.898.274.548.242,(1.878.752.582.007),-,19.521.966.235,1898274548242.0,-1878752582007.0,,19521966235.0
- Lợi nhuận sau thuế chưa phân phối năm nay,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > - Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,2.907.727.710.191,(95.431.949.025),-,2.812.295.761.166,2907727710191.0,-95431949025.0,,2812295761166.0
,,,Năm trước(dã được trình bày trước đây),Điều chỉnh lại,Phân loại lại,VND Năm trước(được trình bày lại),,,,
