row_label_raw,row_label_full,Tên công ty,Hoạt động chính,Số cuối năm > % sở hữu,Số cuối năm > Giá trị VND,Số cuối năm > Dự phòng,Số đầu năm > % sở hữu,Số đầu năm > Giá trị VND,Số đầu năm > Dự phòng,numeric__Hoạt động chính,numeric__Số cuối năm > % sở hữu,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > % sở hữu,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Dự phòng
Công ty TNHH Một thành viên Cơ khí Bia Sài Gòn,Công ty TNHH Một thành viên Cơ khí Bia Sài Gòn,Công ty TNHH Một thành viên Cơ khí Bia Sài Gòn,"Chế tạo máy móc dùng cho sản xuất thực phẩm, lắp đặt và bảo trì hệ thống máy móc thiết bị",100,59.365.663.690,-,100,59.365.663.690,-,,100.0,59365663690.0,,100.0,59365663690.0,
Công ty Cổ phần Thương mại Bia Sài Gòn – Nam Trung Bộ (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Nam Trung Bộ (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Nam Trung Bộ (*),"Kinh doanh bia, rượu và nước giải khát",90,55.799.775.209,-,-,-,-,,90.0,55799775209.0,,,,
Công ty Cổ phần Bao Bì Bia Sài Gòn,Công ty Cổ phần Bao Bì Bia Sài Gòn,Công ty Cổ phần Bao Bì Bia Sài Gòn,"Sản xuất đồ hộp, thùng giấy bằng nhựa và kim loại",77,55.174.824.506,(17.683.421.572),77,55.174.824.506,(19.108.795.231),,77.0,55174824506.0,-17683421572.0,77.0,55174824506.0,-19108795231.0
Công ty Cổ phần Thương mại Bia Sài Gòn – Miền Trung (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Miền Trung (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Miền Trung (*),"Kinh doanh bia, rượu và nước giải khát",90,54.546.288.176,-,-,-,-,,90.0,54546288176.0,,,,
Công ty Cổ phần Thương mại Bia Sài Gòn – Miền Bắc (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Miền Bắc (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Miền Bắc (*),"Kinh doanh bia, rượu và nước giải khát",91,37.422.345.046,-,-,-,-,,91.0,37422345046.0,,,,
Công ty Cổ phần Thương mại Bia Sài Gòn – Sông Hậu (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Sông Hậu (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Sông Hậu (*),"Kinh doanh bia, rượu và nước giải khát",90,36.798.955.472,-,-,-,-,,90.0,36798955472.0,,,,
Công ty Cổ phần Thương mại Bia Sài Gòn – Tây Nguyên (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Tây Nguyên (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Tây Nguyên (*),"Kinh doanh bia, rượu và nước giải khát",90,36.541.448.653,-,-,-,-,,90.0,36541448653.0,,,,
Công ty Cổ phần Thương mại Bia Sài Gòn – Miền Đông (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Miền Đông (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Miền Đông (*),"Kinh doanh bia, rượu và nước giải khát",90,36.362.195.948,-,-,-,-,,90.0,36362195948.0,,,,
Công ty Cổ phần Thương mại Bia Sài Gòn – Sông Tiền (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Sông Tiền (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Sông Tiền (*),"Kinh doanh bia, rượu và nước giải khát",90,36.265.364.767,-,-,-,-,,90.0,36265364767.0,,,,
Công ty Cổ phần Thương mại Bia Sài Gòn – Bắc Trung Bộ (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Bắc Trung Bộ (*),Công ty Cổ phần Thương mại Bia Sài Gòn – Bắc Trung Bộ (*),"Kinh doanh bia, rượu và nước giải khát",93,36.211.572.632,-,-,-,-,,93.0,36211572632.0,,,,
