row_label_raw,row_label_full,Mã số,KHOẢN MỤC,Thuyết minh,Năm nay,Năm trước (Trình bày lại – Thuyết minh số 33),numeric__KHOẢN MỤC,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại – Thuyết minh số 33)
1,1,1,Doanh thu bán hàng,23.1,30.896.051.119.784,8.082.633.304.528,,231.0,30896051119784.0,8082633304528.0
2,2,2,Các khoản giảm trừ doanh thu,23.1,(551.915.200),(20.347.502),,231.0,-551915200.0,-20347502.0
10,10,10,Doanh thu thuần về bán hàng,23.1,30.895.499.204.584,8.082.612.957.026,,231.0,30895499204584.0,8082612957026.0
11,11,11,Giá vốn hàng bán,24,(26.513.435.310.686),(7.576.590.749.135),,24.0,-26513435310686.0,-7576590749135.0
20,20,20,Lợi nhuận gộp về bán hàng,,4.382.063.893.898,506.022.207.891,,,4382063893898.0,506022207891.0
21,21,21,Doanh thu hoạt động tài chính,23.2,1.630.537.132.498,3.899.678.217.879,,232.0,1630537132498.0,3899678217879.0
22,22,22,Chi phí tài chính,25,20.775.323.891,102.060.620.893,,25.0,20775323891.0,102060620893.0
25,25,25,Chi phí bán hàng,26,(650.161.156.589),(601.124.722.190),,26.0,-650161156589.0,-601124722190.0
26,26,26,Chi phí quản lý doanh nghiệp,26,(313.787.919.658),(1.008.123.471.884),,26.0,-313787919658.0,-1008123471884.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,5.069.427.274.040,2.898.512.852.589,,,5069427274040.0,2898512852589.0
31,31,31,Thu nhập khác,27,39.268.221.096,68.294.476.095,,27.0,39268221096.0,68294476095.0
32,32,32,Chi phí khác,27,(13.565.615.120),(6.702.906.401),,27.0,-13565615120.0,-6702906401.0
40,40,40,Lợi nhuận khác,27,25.702.605.976,61.591.569.694,,27.0,25702605976.0,61591569694.0
50,50,50,Lợi nhuận kế toán trước thuế,,5.095.129.880.016,2.960.104.422.283,,,5095129880016.0,2960104422283.0
51,51,51,Chi phí thuế TNDN hiện hành,29.1,(11.032.076.992),(60.948.918.157),,291.0,-11032076992.0,-60948918157.0
52,52,52,(Chi phí) thu nhập thuế TNDN hoãn lại,29.3,(821.161.839.333),163.836.044.365,,293.0,-821161839333.0,163836044365.0
60,60,60,Lợi nhuận sau thuế TNDN,,4.262.935.963.691,3.062.991.548.491,,,4262935963691.0,3062991548491.0
