row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Doanh thu,Doanh thu,Doanh thu,30.896.051.119.784,8.082.633.304.528,30896051119784.0,8082633304528.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán thành phẩm,Trong đó: > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,24.861.979.486.882,3.029.990.423.405,24861979486882.0,3029990423405.0
Doanh thu bán nguyên vật liệu,Trong đó: > Doanh thu bán nguyên vật liệu,Doanh thu bán nguyên vật liệu,5.986.912.105.837,4.990.494.559.630,5986912105837.0,4990494559630.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,47.159.527.065,62.148.321.493,47159527065.0,62148321493.0
Các khoản giảm trừ,Trong đó: > Các khoản giảm trừ,Các khoản giảm trừ,(551.915.200),(20.347.502),-551915200.0,-20347502.0
Hàng bán trả lại,Trong đó: > Hàng bán trả lại,Hàng bán trả lại,(551.915.200),(20.347.502),-551915200.0,-20347502.0
DOANH THU THUẦN,Trong đó: > DOANH THU THUẦN,DOANH THU THUẦN,30.895.499.204.584,8.082.612.957.026,30895499204584.0,8082612957026.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán thành phẩm,Trong đó: > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,24.861.427.571.682,3.029.970.075.903,24861427571682.0,3029970075903.0
Doanh thu bán nguyên vật liệu,Trong đó: > Doanh thu bán nguyên vật liệu,Doanh thu bán nguyên vật liệu,5.986.912.105.837,4.990.494.559.630,5986912105837.0,4990494559630.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,47.159.527.065,62.148.321.493,47159527065.0,62148321493.0
