row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước(Trình bày lại -Thuyết minh số 33),numeric__Năm nay,numeric__VNDNăm trước(Trình bày lại -Thuyết minh số 33)
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,11.032.076.992,60.948.918.157,11032076992.0,60948918157.0
Chi phí (thu nhập) thuế TNDN hoãn lại,Chi phí (thu nhập) thuế TNDN hoãn lại,Chi phí (thu nhập) thuế TNDN hoãn lại,821.161.839.333,(163.836.044.365),821161839333.0,-163836044365.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,832.193.916.325,(102.887.126.208),832193916325.0,-102887126208.0
