row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,Phương tiệnvận chuyển,Trang thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__Phương tiệnvận chuyển,numeric__Trang thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,544.104.092.527,2.658.888.511.853,44.969.905.247,65.336.538.262,3.313.299.047.889,544104092527.0,2658888511853.0,44969905247.0,65336538262.0,3313299047889.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,3.967.618,7.214.793.767,4.762.373.656,11.578.192.679,23.559.327.720,3967618.0,7214793767.0,4762373656.0,11578192679.0,23559327720.0
Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh số 15),Nguyên giá > Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh số 15),Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh số 15),23.475.894.935,29.256.124.352,-,378.664.230,53.110.683.517,23475894935.0,29256124352.0,,378664230.0,53110683517.0
Xóa số trong năm,Nguyên giá > Xóa số trong năm,Xóa số trong năm,-,(2.808.554.496),-,-,(2.808.554.496),,-2808554496.0,,,-2808554496.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,-,-,(37.290.000),(37.290.000),,,,-37290000.0,-37290000.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(203.410.000),(34.976.733),-,-,(238.386.733),-203410000.0,-34976733.0,,,-238386733.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,567.380.545.080,2.692.515.898.743,49.732.278.903,77.256.105.171,3.386.884.827.897,567380545080.0,2692515898743.0,49732278903.0,77256105171.0,3386884827897.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,268.259.199.774,1.637.357.571.184,32.237.102.576,43.669.655.707,1.981.523.529.241,268259199774.0,1637357571184.0,32237102576.0,43669655707.0,1981523529241.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,42.589.965.391,194.463.034.914,4.083.755.513,9.371.654.199,250.508.410.017,42589965391.0,194463034914.0,4083755513.0,9371654199.0,250508410017.0
Xóa số trong năm,Giá trị hao mòn lũy kế > Xóa số trong năm,Xóa số trong năm,-,(2.808.554.496),-,-,(2.808.554.496),,-2808554496.0,,,-2808554496.0
Thanh lý trong năm,Giá trị hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,-,-,-,(37.290.000),(37.290.000),,,,-37290000.0,-37290000.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,310.849.165.165,1.829.012.051.602,36.320.858.089,53.004.019.906,2.229.186.094.762,310849165165.0,1829012051602.0,36320858089.0,53004019906.0,2229186094762.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,275.844.892.753,1.021.530.940.669,12.732.802.671,21.666.882.555,1.331.775.518.648,275844892753.0,1021530940669.0,12732802671.0,21666882555.0,1331775518648.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,256.531.379.915,863.503.847.141,13.411.420.814,24.252.085.265,1.157.698.733.135,256531379915.0,863503847141.0,13411420814.0,24252085265.0,1157698733135.0
Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 đã khấu hao hết nhưng vẫn còn sử dụng là 598.994.213.785 VND (31 tháng 12 năm 2015: 575.011.719.716 VND).,Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 đã khấu hao hết nhưng vẫn còn sử dụng là 598.994.213.785 VND (31 tháng 12 năm 2015: 575.011.719.716 VND).,Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 đã khấu hao hết nhưng vẫn còn sử dụng là 598.994.213.785 VND (31 tháng 12 năm 2015: 575.011.719.716 VND).,Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 đã khấu hao hết nhưng vẫn còn sử dụng là 598.994.213.785 VND (31 tháng 12 năm 2015: 575.011.719.716 VND).,Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 đã khấu hao hết nhưng vẫn còn sử dụng là 598.994.213.785 VND (31 tháng 12 năm 2015: 575.011.719.716 VND).,Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 đã khấu hao hết nhưng vẫn còn sử dụng là 598.994.213.785 VND (31 tháng 12 năm 2015: 575.011.719.716 VND).,Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 đã khấu hao hết nhưng vẫn còn sử dụng là 598.994.213.785 VND (31 tháng 12 năm 2015: 575.011.719.716 VND).,Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 đã khấu hao hết nhưng vẫn còn sử dụng là 598.994.213.785 VND (31 tháng 12 năm 2015: 575.011.719.716 VND).,,,,,
Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 chờ thanh lý là 17.520.946.034 VND (31 tháng 12 năm 2015: 5.870.175.738 VND).,Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 chờ thanh lý là 17.520.946.034 VND (31 tháng 12 năm 2015: 5.870.175.738 VND).,Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 chờ thanh lý là 17.520.946.034 VND (31 tháng 12 năm 2015: 5.870.175.738 VND).,Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 chờ thanh lý là 17.520.946.034 VND (31 tháng 12 năm 2015: 5.870.175.738 VND).,Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 chờ thanh lý là 17.520.946.034 VND (31 tháng 12 năm 2015: 5.870.175.738 VND).,Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 chờ thanh lý là 17.520.946.034 VND (31 tháng 12 năm 2015: 5.870.175.738 VND).,Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 chờ thanh lý là 17.520.946.034 VND (31 tháng 12 năm 2015: 5.870.175.738 VND).,Nguyên giá tài sản cố định hữu hình tại ngày 31 tháng 12 năm 2016 chờ thanh lý là 17.520.946.034 VND (31 tháng 12 năm 2015: 5.870.175.738 VND).,,,,,
