row_label_raw,row_label_full,Tên công ty,Hoạt động chính,Số cuối năm > % sở hữu,Số cuối năm > Giá trị VND,Số cuối năm > Dự phòng,Số đầu năm > % sở hữu,Số đầu năm > Giá trị VND,Số đầu năm > Dự phòng,numeric__Hoạt động chính,numeric__Số cuối năm > % sở hữu,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > % sở hữu,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Dự phòng
Công ty TNHH Một thành viên Thương mại Bia Sài Gòn,Công ty TNHH Một thành viên Thương mại Bia Sài Gòn,Công ty TNHH Một thành viên Thương mại Bia Sài Gòn,"Kinh doanh bia, rượu và nước giải khát",100,700.000.000.000,-,100,700.000.000.000,-,,100.0,700000000000.0,,100.0,700000000000.0,
Công ty Cổ phần Bia Sài Gòn - Sông Lam,Công ty Cổ phần Bia Sài Gòn - Sông Lam,Công ty Cổ phần Bia Sài Gòn - Sông Lam,"Sản xuất và kinh doanh bia và nước giải khát, xuất nhập khẩu các nguyên vật liệu liên quan",69,314.250.000.000,-,69,314.250.000.000,-,,69.0,314250000000.0,,69.0,314250000000.0,
Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Sản xuất và kinh doanh bia,67,299.548.230.160,-,67,299.548.230.160,-,,67.0,299548230160.0,,67.0,299548230160.0,
Công ty Cổ phần Nước giải khát Chương Dương,Công ty Cổ phần Nước giải khát Chương Dương,Công ty Cổ phần Nước giải khát Chương Dương,"Sản xuất và kinh doanh nước giải khát, đồ hộp và phụ liệu, đầu tư bất động sản",62,236.167.400.000,-,62,236.167.400.000,-,,62.0,236167400000.0,,62.0,236167400000.0,
Công ty Cổ phần Rượu Bình Tây,Công ty Cổ phần Rượu Bình Tây,Công ty Cổ phần Rượu Bình Tây,"Sản xuất và kinh doanh bia, rượu, nước giải khát",92,208.414.271.535,-,92,208.414.271.535,-,,92.0,208414271535.0,,92.0,208414271535.0,
Công ty TNHH Một thành viên Bia Sài Gòn - Hà Tĩnh,Công ty TNHH Một thành viên Bia Sài Gòn - Hà Tĩnh,Công ty TNHH Một thành viên Bia Sài Gòn - Hà Tĩnh,Sản xuất và kinh doanh bia,100,120.000.000.000,-,100,120.000.000.000,-,,100.0,120000000000.0,,100.0,120000000000.0,
Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty Cổ phần Bia Sài Gòn - Miền Tây,Sản xuất và kinh doanh bia,51,100.424.933.209,-,51,100.424.933.209,-,,51.0,100424933209.0,,51.0,100424933209.0,
Công ty Cổ phần Bia Sài Gòn - Hà Nội,Công ty Cổ phần Bia Sài Gòn - Hà Nội,Công ty Cổ phần Bia Sài Gòn - Hà Nội,"Sản xuất và kinh doanh bia và nước giải khát, xuất nhập khẩu các nguyên vật liệu liên quan",52,93.800.000.000,-,52,93.800.000.000,-,,52.0,93800000000.0,,52.0,93800000000.0,
Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm (*),Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm (*),Công ty Cổ phần Thương mại Bia Sài Gòn Trung Tâm (*),"Kinh doanh bia, rượu và nước giải khát",92,81.000.000.000,-,-,-,-,,92.0,81000000000.0,,,,
Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,"Sản xuất và kinh doanh nước giải khát, đồ hộp và phụ liệu",55,76.324.868.844,-,55,76.324.868.844,-,,55.0,76324868844.0,,55.0,76324868844.0,
