row_label_raw,row_label_full,Tên công ty,Số cuối năm > % sở hữu,Số cuối năm > Giá trị VND,Số cuối năm > Dự phòng,Số đầu năm > % sở hữu,Số đầu năm > Giá trị VND,Số đầu năm > Dự phòng,numeric__Số cuối năm > % sở hữu,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > % sở hữu,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Dự phòng
Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,"3,26",216.579.320.000,(154.139.135.264),"2,96",216.579.320.000,(158.864.894.000),3.26,216579320000.0,-154139135264.0,2.96,216579320000.0,-158864894000.0
Ngân hàng Thương mại Cổ phần Đông Á,Ngân hàng Thương mại Cổ phần Đông Á,Ngân hàng Thương mại Cổ phần Đông Á,"0,95",136.265.460.000,(126.798.368.000),"0,95",136.265.460.000,(120.015.196.582),0.95,136265460000.0,-126798368000.0,0.95,136265460000.0,-120015196582.0
Công ty Cổ phần Bia Sài Gòn – Bình Tây,Công ty Cổ phần Bia Sài Gòn – Bình Tây,Công ty Cổ phần Bia Sài Gòn – Bình Tây,"13,26",53.249.742.406,-,"13,26",53.249.742.406,-,13.26,53249742406.0,,13.26,53249742406.0,
Công ty PVI Sài Gòn,Công ty PVI Sài Gòn,Công ty PVI Sài Gòn,"0,22",51.475.140.000,(39.385.841.400),"0,21",51.475.140.000,(39.143.084.400),0.22,51475140000.0,-39385841400.0,0.21,51475140000.0,-39143084400.0
Quỹ đầu tư Chứng khoán Sài Gòn A2,Quỹ đầu tư Chứng khoán Sài Gòn A2,Quỹ đầu tư Chứng khoán Sài Gòn A2,"10,00",51.107.720.722,(33.731.120.722),"10,00",51.107.720.722,(36.230.900.722),10.0,51107720722.0,-33731120722.0,10.0,51107720722.0,-36230900722.0
Quỹ đầu tư Việt Nam,Quỹ đầu tư Việt Nam,Quỹ đầu tư Việt Nam,"7,12",42.337.214.481,(24.851.604.453),"7,12",62.977.214.481,(18.638.703.340),7.12,42337214481.0,-24851604453.0,7.12,62977214481.0,-18638703340.0
Công ty Cổ phần Bao bì Sabeco Sông Lam,Công ty Cổ phần Bao bì Sabeco Sông Lam,Công ty Cổ phần Bao bì Sabeco Sông Lam,"15,33",46.000.000.000,-,"15,76",46.000.000.000,-,15.33,46000000000.0,,15.76,46000000000.0,
Công ty Cổ phần Chứng khoán Đại Việt,Công ty Cổ phần Chứng khoán Đại Việt,Công ty Cổ phần Chứng khoán Đại Việt,"7,20",45.000.000.000,(15.958.630.635),"7,20",45.000.000.000,(38.430.000.000),7.2,45000000000.0,-15958630635.0,7.2,45000000000.0,-38430000000.0
Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,"0,47",36.603.803.243,-,"0,46",36.603.803.243,-,0.47,36603803243.0,,0.46,36603803243.0,
Công ty Du lịch Dầu khí Phương Đông,Công ty Du lịch Dầu khí Phương Đông,Công ty Du lịch Dầu khí Phương Đông,"9,8",30.700.950.000,(23.938.950.000),"9,8",30.700.950.000,(23.056.950.000),9.8,30700950000.0,-23938950000.0,9.8,30700950000.0,-23056950000.0
Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,Công ty Cổ phần Vận tải và Giao nhận Bia Sài Gòn,"16,72",26.588.267.394,-,"16,71",26.588.267.394,-,16.72,26588267394.0,,16.71,26588267394.0,
Công ty Cổ phần Đầu tư SABECO HP (*),Công ty Cổ phần Đầu tư SABECO HP (*),Công ty Cổ phần Đầu tư SABECO HP (*),"8,00",24.426.586.800,-,-,-,-,8.0,24426586800.0,,,,
Công ty Cổ phần Đầu tư và Phát triển Không Gian Ngầm,Công ty Cổ phần Đầu tư và Phát triển Không Gian Ngầm,Công ty Cổ phần Đầu tư và Phát triển Không Gian Ngầm,"5,29",23.085.000.000,(1.721.774.410),"5,29",23.085.000.000,(1.438.416.928),5.29,23085000000.0,-1721774410.0,5.29,23085000000.0,-1438416928.0
Công ty Cổ phần Bia Nước giải khát Sài Gòn – Tây Đô,Công ty Cổ phần Bia Nước giải khát Sài Gòn – Tây Đô,Công ty Cổ phần Bia Nước giải khát Sài Gòn – Tây Đô,"16,30",19.690.000.000,-,"16,30",19.690.000.000,-,16.3,19690000000.0,,16.3,19690000000.0,
Công ty Cổ phần Bia Sài Gòn – Đồng Nai,Công ty Cổ phần Bia Sài Gòn – Đồng Nai,Công ty Cổ phần Bia Sài Gòn – Đồng Nai,"10,38",3.954.000.000,(3.327.377.203),"10,38",3.954.000.000,(3.391.277.564),10.38,3954000000.0,-3327377203.0,10.38,3954000000.0,-3391277564.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,807.063.205.046,(423.852.802.087),,803.276.618.246,(439.209.423.536),,807063205046.0,-423852802087.0,,803276618246.0,-439209423536.0
