row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Thủy điện Miền Nam,Mối quan hệ > Công ty liên kết,Nội dung nghiệp vụ > Thu nhập từ cổ tức,Năm nay > 30.321.140.800,VNDNăm trước > 28.426.069.500,numeric__Mối quan hệ > Công ty liên kết,numeric__Nội dung nghiệp vụ > Thu nhập từ cổ tức,numeric__Năm nay > 30.321.140.800,numeric__VNDNăm trước > 28.426.069.500
Công ty Cổ phần Đầu tư Sabeco Pearl,Công ty Cổ phần Đầu tư Sabeco Pearl,Công ty Cổ phần Đầu tư Sabeco Pearl,Công ty liên kết,Góp vốn bằng tiền,-,92.026.720.800,,,,92026720800.0
Công ty Cổ phần Đầu tư Sabeco Pearl,Công ty Cổ phần Đầu tư Sabeco Pearl,Công ty Cổ phần Đầu tư Sabeco Pearl,Công ty liên kết,Góp vốn bằng giá trị lợi thế thương mại,-,55.306.699.200,,,,55306699200.0
Công ty Cổ phần Đầu tư Sabeco Pearl,Công ty Cổ phần Đầu tư Sabeco Pearl,Công ty Cổ phần Đầu tư Sabeco Pearl,Công ty liên kết,Doanh thu khác,-,56.556.699.200,,,,56556699200.0
Công ty Cổ phần Bia Sài Gòn – Khánh Hòa,Công ty Cổ phần Bia Sài Gòn – Khánh Hòa,Công ty Cổ phần Bia Sài Gòn – Khánh Hòa,Công ty liên kết,Doanh thu bán nguyên vật liệu,30.545.676.281,-,,,30545676281.0,
Công ty Cổ phần Bia Sài Gòn – Khánh Hòa,Công ty Cổ phần Bia Sài Gòn – Khánh Hòa,Công ty Cổ phần Bia Sài Gòn – Khánh Hòa,Công ty liên kết,Mua hàng hóa,31.897.009.000,-,,,31897009000.0,
Công ty Cổ phần Bia Sài Gòn – Khánh Hòa,Công ty Cổ phần Bia Sài Gòn – Khánh Hòa,Công ty Cổ phần Bia Sài Gòn – Khánh Hòa,Công ty liên kết,Góp vốn bằng tiền,-,26.000.000.000,,,,26000000000.0
Công ty Cổ phần Bia Sài Gòn – Miền Trung,Công ty Cổ phần Bia Sài Gòn – Miền Trung,Công ty Cổ phần Bia Sài Gòn – Miền Trung,Công ty liên kết,Doanh thu bán nguyên vật liệu,192.020.709.037,204.783.024.557,,,192020709037.0,204783024557.0
Công ty Cổ phần Bia Sài Gòn – Miền Trung,Công ty Cổ phần Bia Sài Gòn – Miền Trung,Công ty Cổ phần Bia Sài Gòn – Miền Trung,Công ty liên kết,"Mua hàng hóa, nguyên vật liệu",1.097.902.478.330,-,,,1097902478330.0,
Công ty Cổ phần Bia Sài Gòn – Miền Trung,Công ty Cổ phần Bia Sài Gòn – Miền Trung,Công ty Cổ phần Bia Sài Gòn – Miền Trung,Công ty liên kết,Thu nhập từ cổ tức,15.387.780.800,14.426.044.500,,,15387780800.0,14426044500.0
Công ty Cổ phần Bia Sài Gòn – Miền Trung,Công ty Cổ phần Bia Sài Gòn – Miền Trung,Công ty Cổ phần Bia Sài Gòn – Miền Trung,Công ty liên kết,Doanh thu khác,-,1.292.525.400,,,,1292525400.0
Công ty TNHH Bao bì Sanmiguel Phú Thọ,Công ty TNHH Bao bì Sanmiguel Phú Thọ,Công ty TNHH Bao bì Sanmiguel Phú Thọ,Công ty liên doanh,Mua bao bì,162.247.328.000,172.865.104.400,,,162247328000.0,172865104400.0
Công ty TNHH Bao bì Sanmiguel Phú Thọ,Công ty TNHH Bao bì Sanmiguel Phú Thọ,Công ty TNHH Bao bì Sanmiguel Phú Thọ,Công ty liên doanh,Thu nhập từ cổ tức,3.893.750.000,3.820.250.000,,,3893750000.0,3820250000.0
Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty liên doanh,Thu nhập từ cổ tức,108.231.096.319,98.149.623.776,,,108231096319.0,98149623776.0
Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty liên doanh,Doanh thu khác,1.455.733.166,36.078.976,,,1455733166.0,36078976.0
Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty liên doanh,Mua nguyên vật liệu,1.412.992.733.830,1.245.312.845.978,,,1412992733830.0,1245312845978.0
Công ty TNHH Trung tâm Mê Linh,Công ty TNHH Trung tâm Mê Linh,Công ty TNHH Trung tâm Mê Linh,Công ty liên doanh,Thu nhập từ cổ tức,23.198.045.240,21.575.883.051,,,23198045240.0,21575883051.0
Công ty TNHH Một Thành Viên Bia Sài Gòn – Sóc Trăng,Công ty TNHH Một Thành Viên Bia Sài Gòn – Sóc Trăng,Công ty TNHH Một Thành Viên Bia Sài Gòn – Sóc Trăng,Bên liên quan,Doanh thu bán nguyên vật liệu,365.374.522.480,283.569.387.546,,,365374522480.0,283569387546.0
Công ty TNHH Một Thành Viên Bia Sài Gòn – Sóc Trăng,Công ty TNHH Một Thành Viên Bia Sài Gòn – Sóc Trăng,Công ty TNHH Một Thành Viên Bia Sài Gòn – Sóc Trăng,Bên liên quan,Mua hàng hóa,996.001.372.620,-,,,996001372620.0,
