row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại -Thuyết minh số 33),Phải nộptrong năm,Đã nộptrong năm,VNDSố cuối năm,numeric__Số đầu năm(Trình bày lại -Thuyết minh số 33),numeric__Phải nộptrong năm,numeric__Đã nộptrong năm,numeric__VNDSố cuối năm
Thuế thu nhậpdoanh nghiệp,Thuế thu nhậpdoanh nghiệp,Thuế thu nhậpdoanh nghiệp,(115.268.056.552),11.032.076.992,(536.500.402.568),(640.736.382.128),-115268056552.0,11032076992.0,-536500402568.0,-640736382128.0
Thuế tiêu thụđặc biệt,Thuế tiêu thụđặc biệt,Thuế tiêu thụđặc biệt,4.288.011.444.926,3.150.568.364.258,(7.199.791.984.750),238.787.824.434,4288011444926.0,3150568364258.0,-7199791984750.0,238787824434.0
Thuế giả trịgia tăng,Thuế giả trịgia tăng,Thuế giả trịgia tăng,24.517.067.050,808.493.426.609,(833.010.493.659),-,24517067050.0,808493426609.0,-833010493659.0,
Thuế đất,Thuế đất,Thuế đất,77.264.773.924,20.724.579.013,(96.408.303.122),1.581.049.815,77264773924.0,20724579013.0,-96408303122.0,1581049815.0
Thuế thu nhậpcá nhân,Thuế thu nhậpcá nhân,Thuế thu nhậpcá nhân,3.787.251.687,53.056.332.492,(50.255.900.578),6.587.683.601,3787251687.0,53056332492.0,-50255900578.0,6587683601.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,6.982.600,146.164.880,(139.120.680),14.026.800,6982600.0,146164880.0,-139120680.0,14026800.0
Thuế nhập khẩu,Thuế nhập khẩu,Thuế nhập khẩu,-,24.747.275.549,(24.747.275.549),-,,24747275549.0,-24747275549.0,
"Phí, lệ phí","Phí, lệ phí","Phí, lệ phí",1.220.621.980,602.461.997,(1.635.243.596),187.840.381,1220621980.0,602461997.0,-1635243596.0,187840381.0
Thuế khác,Thuế khác,Thuế khác,(65.152.414),1.293.830.468,(1.293.830.468),(65.152.414),-65152414.0,1293830468.0,-1293830468.0,-65152414.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.279.474.933.201,4.070.664.512.258,(8.743.782.554.970),(393.643.109.511),4279474933201.0,4070664512258.0,-8743782554970.0,-393643109511.0
Trong đó:Thuế trả trước,Trong đó:Thuế trả trước,Trong đó:Thuế trả trước,(115.333.208.966),,,(640.801.534.542),-115333208966.0,,,-640801534542.0
Thuế phải nộp,Thuế phải nộp,Thuế phải nộp,4.394.808.142.167,,,247.158.425.031,4394808142167.0,,,247158425031.0
