row_label_raw,row_label_full,col_0,Vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số đầu năm (đã được trình bày trước đây),Năm trước > Số đầu năm (đã được trình bày trước đây),Số đầu năm (đã được trình bày trước đây),6.412.811.860.000,763.087.959.573,3.461.325.148.385,10.637.224.967.958,6412811860000.0,763087959573.0,3461325148385.0,10637224967958.0
Trình bày lại - Thuyết minh số 33,Năm trước > Trình bày lại - Thuyết minh số 33,Trình bày lại - Thuyết minh số 33,-,-,(1.878.752.582.007),(1.878.752.582.007),,,-1878752582007.0,-1878752582007.0
Số đầu năm (được trình bày lại),Năm trước > Số đầu năm (được trình bày lại),Số đầu năm (được trình bày lại),6.412.811.860.000,763.087.959.573,1.582.572.566.378,"8,758,472,385,951",6412811860000.0,763087959573.0,1582572566378.0,
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,3.062.991.548.491,3.062.991.548.491,,,3062991548491.0,3062991548491.0
Chia cổ tức,Năm trước > Chia cổ tức,Chia cổ tức,-,-,(1.603.205.465.000),(1.603.205.465.000),,,-1603205465000.0,-1603205465000.0
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,(237.453.552.073),(237.453.552.073),,,-237453552073.0,-237453552073.0
"Điều chỉnh quỹ khen thưởng, phúc lợi","Năm trước > Điều chỉnh quỹ khen thưởng, phúc lợi","Điều chỉnh quỹ khen thưởng, phúc lợi",-,-,55.045.472.072,55.045.472.072,,,55045472072.0,55045472072.0
Trích lập quỹ công tác xã hội,Năm trước > Trích lập quỹ công tác xã hội,Trích lập quỹ công tác xã hội,-,-,(30.401.000.000),(30.401.000.000),,,-30401000000.0,-30401000000.0
Điều chỉnh giảm quỹ đầu tư phát triển,Năm trước > Điều chỉnh giảm quỹ đầu tư phát triển,Điều chỉnh giảm quỹ đầu tư phát triển,-,(2.268.157.533),2.268.157.533,-,,-2268157533.0,2268157533.0,
Số cuối năm (Trình bày lại - Thuyết minh số 33),Năm trước > Số cuối năm (Trình bày lại - Thuyết minh số 33),Số cuối năm (Trình bày lại - Thuyết minh số 33),6.412.811.860.000,760.819.802.040,2.831.817.727.401,10.005.449.389.441,6412811860000.0,760819802040.0,2831817727401.0,10005449389441.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số đầu năm (được trình bày lại),Năm nay > Số đầu năm (được trình bày lại),Số đầu năm (được trình bày lại),6.412.811.860.000,760.819.802.040,2.831.817.727.401,10.005.449.389.441,6412811860000.0,760819802040.0,2831817727401.0,10005449389441.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,4.262.935.963.691,4.262.935.963.691,,,4262935963691.0,4262935963691.0
Chia cổ tức,Năm nay > Chia cổ tức,Chia cổ tức,-,-,(3.847.690.116.000),(3.847.690.116.000),,,-3847690116000.0,-3847690116000.0
"Trích lập quỹ khen thưởng, phúc lợi","Năm nay > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,(206.491.319.999),(206.491.319.999),,,-206491319999.0,-206491319999.0
Trích lập quỹ công tác xã hội,Năm nay > Trích lập quỹ công tác xã hội,Trích lập quỹ công tác xã hội,-,-,(33.999.000.000),(33.999.000.000),,,-33999000000.0,-33999000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,6.412.811.860.000,760.819.802.040,3.006.573.255.093,10.180.204.917.133,6412811860000.0,760819802040.0,3006573255093.0,10180204917133.0
