row_label_raw,row_label_full,Số đầu năm,Nguyên giá > 385.187.149.316,Hao mòn lũy kế > 31.197.426.846,Giá trị còn lại > 353.989.722.470,numeric__Nguyên giá > 385.187.149.316,numeric__Hao mòn lũy kế > 31.197.426.846,numeric__Giá trị còn lại > 353.989.722.470
Kết chuyển từ hàng tồn kho sang (*),Kết chuyển từ hàng tồn kho sang (*),Kết chuyển từ hàng tồn kho sang (*),32.673.139.654,,,32673139654.0,,
Khẩu hao trong năm,Khẩu hao trong năm,Khẩu hao trong năm,,8.105.920.291,,,8105920291.0,
Số cuối năm,Số cuối năm,Số cuối năm,417.860.288.970,39.303.347.137,378.556.941.833,417860288970.0,39303347137.0,378556941833.0
