row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Kết chuyển từ vay và nợ dài hạn,Số tiền vay đã trả trong năm,Phân bổ chi phí phát hành trái phiếu,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Kết chuyển từ vay và nợ dài hạn,numeric__Số tiền vay đã trả trong năm,numeric__Phân bổ chi phí phát hành trái phiếu,numeric__Số cuối năm
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,431.346.636.195,473.002.214.261,-,(542.430.790.842),-,361.918.059.614,431346636195.0,473002214261.0,,-542430790842.0,,361918059614.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,75.560.000.000,-,99.920.000.000,(96.160.000.000),-,79.320.000.000,75560000000.0,,99920000000.0,-96160000000.0,,79320000000.0
Trái phiếu thường dài hạn đến hạn trả,Trái phiếu thường dài hạn đến hạn trả,Trái phiếu thường dài hạn đến hạn trả,11.250.000.000,-,138.455.000.000,(71.000.000.000),1.647.500.000,80.352.500.000,11250000000.0,,138455000000.0,-71000000000.0,1647500000.0,80352500000.0
Cộng,Cộng,Cộng,518.156.636.195,473.002.214.261,238.375.000.000,(709.590.790.842),1.647.500.000,521.590.559.614,518156636195.0,473002214261.0,238375000000.0,-709590790842.0,1647500000.0,521590559614.0
