row_label_raw,row_label_full,Số đầu năm,Nguyên giá > 13.393.683.859,Hao mòn lũy kế > 5.813.724.965,Giá trị còn lại > 7.579.958.894,numeric__Nguyên giá > 13.393.683.859,numeric__Hao mòn lũy kế > 5.813.724.965,numeric__Giá trị còn lại > 7.579.958.894
Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,3.466.665.320,,,3466665320.0,,
Khẩu hao trong năm,Khẩu hao trong năm,Khẩu hao trong năm,,1.097.317.656,,,1097317656.0,
Số cuối năm,Số cuối năm,Số cuối năm,16.860.349.179,6.911.042.621,9.949.306.558,16860349179.0,6911042621.0,9949306558.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết nhưng vẫn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vẫn còn sử dụng,Đã khấu hao hết nhưng vẫn còn sử dụng,3.043.494.021,,,3043494021.0,,
