row_label_raw,row_label_full,STT,Danh mục các loại chứng quyền Công ty phát hành,Giá trị phát hành theo số kế toán,Giá trị thị trường,Số dư chênh lệch đánh giá lại cuối năm,Số dư chênh lệch đánh giá lại đầu năm,Đơn vị tính: VNDChênh lệch thuần điều chỉnh số kế toàn trong năm,numeric__Danh mục các loại chứng quyền Công ty phát hành,numeric__Giá trị phát hành theo số kế toán,numeric__Giá trị thị trường,numeric__Số dư chênh lệch đánh giá lại cuối năm,numeric__Số dư chênh lệch đánh giá lại đầu năm,numeric__Đơn vị tính: VNDChênh lệch thuần điều chỉnh số kế toàn trong năm
1,1,1,MBB/8M/SSI/C/EU/Cash-08,6.261.687.812,6.754.160.000,(492.472.188),-,(492.472.188),,6261687812.0,6754160000.0,-492472188.0,,-492472188.0
2,2,2,MBB/5M/SSI/C/EU/Cash-08,7.206.410.064,8.290.963.000,(1.084.552.936),-,(1.084.552.936),,7206410064.0,8290963000.0,-1084552936.0,,-1084552936.0
3,3,3,STB/5M/SSI/C/EU/Cash-08,11.011.513.180,12.523.160.000,(1.511.646.820),-,(1.511.646.820),,11011513180.0,12523160000.0,-1511646820.0,,-1511646820.0
4,4,4,HPG/7.5M/SSI/C/EU/Cash-06,31.630.685.425,37.512.540.000,(5.881.854.575),-,(5.881.854.575),,31630685425.0,37512540000.0,-5881854575.0,,-5881854575.0
5,5,5,HPG/9M/SSI/C/EU/Cash-06,36.688.765.280,43.913.582.400,(7.224.817.120),-,(7.224.817.120),,36688765280.0,43913582400.0,-7224817120.0,,-7224817120.0
6,6,6,VHM/5M/SSI/C/EU/Cash-07,9.885.429.341,14.450.072.000,(4.564.642.659),-,(4.564.642.659),,9885429341.0,14450072000.0,-4564642659.0,,-4564642659.0
7,7,7,VNM/5M/SSI/C/EU/Cash-07,10.468.861.951,9.994.092.100,474.769.851,-,474.769.851,,10468861951.0,9994092100.0,474769851.0,,474769851.0
8,8,8,TCB/8M/SSI/C/EU/Cash-09,8.360.035.849,9.974.839.000,(1.614.803.151),-,(1.614.803.151),,8360035849.0,9974839000.0,-1614803151.0,,-1614803151.0
9,9,9,VRE/5M/SSI/C/EU/Cash-09,7.694.559.628,8.884.290.000,(1.189.730.372),-,(1.189.730.372),,7694559628.0,8884290000.0,-1189730372.0,,-1189730372.0
10,10,10,Chứng quyền khác,34.731.318.135,40.631.232.307,(5.899.914.172),11.053.860.452,(16.953.774.624),,34731318135.0,40631232307.0,-5899914172.0,11053860452.0,-16953774624.0
,,,Tổng cộng,163.939.266.665,192.928.930.807,(28.989.664.142),11.053.860.452,(40.043.524.594),,163939266665.0,192928930807.0,-28989664142.0,11053860452.0,-40043524594.0
