row_label_raw,row_label_full,CHÍ TIÊU,Thuyếtmình,Số dư đầu năm > Ngày 1 tháng 1năm 2019,Số dư đầu năm > Ngày 1 tháng 1năm 2020,Số tăng/giảm > Năm trước > Tăng,Số tăng/giảm > Năm trước > Giảm,Số tăng/giảm > Năm nay > Tăng,Số tăng/giảm > Năm nay > Giảm,Số dư cuối năm > Ngày 31 tháng 12năm 2019,Số dư cuối năm > Ngày 31 tháng12 năm 2020,numeric__Thuyếtmình,numeric__Số dư đầu năm > Ngày 1 tháng 1năm 2019,numeric__Số dư đầu năm > Ngày 1 tháng 1năm 2020,numeric__Số tăng/giảm > Năm trước > Tăng,numeric__Số tăng/giảm > Năm trước > Giảm,numeric__Số tăng/giảm > Năm nay > Tăng,numeric__Số tăng/giảm > Năm nay > Giảm,numeric__Số dư cuối năm > Ngày 31 tháng 12năm 2019,numeric__Số dư cuối năm > Ngày 31 tháng12 năm 2020
CHÍ TIÊU,CHÍ TIÊU,CHÍ TIÊU,Thuyếtmình,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,
A,CHÍ TIÊU > A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
II. THU NHẬPTOÀN ĐIỆNKHÁC1. Lãi( fiscal từđánh giá làicác tài sản tàichính AFS,CHÍ TIÊU > II. THU NHẬPTOÀN ĐIỆNKHÁC1. Lãi( fiscal từđánh giá làicác tài sản tàichính AFS,II. THU NHẬPTOÀN ĐIỆNKHÁC1. Lãi( fiscal từđánh giá làicác tài sản tàichính AFS,,236.127.124.138,260.974.419.033,97.058.372.289,(72.211.077.394),30.309.756.224,(295.077.208.363),260.974.419.033,(3.793.033.106),,236127124138.0,260974419033.0,97058372289.0,-72211077394.0,30309756224.0,-295077208363.0,260974419033.0,-3793033106.0
TỔNG CỘNG,CHÍ TIÊU > TỔNG CỘNG,TỔNG CỘNG,40,236.127.124.138,260.974.419.033,97.058.372.289,(72.211.077.394),30.309.756.224,(295.077.208.363),260.974.419.033,(3.793.033.106),40.0,236127124138.0,260974419033.0,97058372289.0,-72211077394.0,30309756224.0,-295077208363.0,260974419033.0,-3793033106.0
