row_label_raw,row_label_full,STT,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán,Giá trị hợp lý,Số dư chênh lệch đánh giá lại tại ngày 31 tháng 12 năm 2020,Số dư chênh lệch đánh giá lại tại ngày 31 tháng 12 năm 2019,Đơn vị tính: VNDChênh lệch thuần điều chỉnh số kế toàn trong năm,numeric__Danh mục các loại tài sản tài chính,numeric__Giá trị mua theo số kế toán,numeric__Giá trị hợp lý,numeric__Số dư chênh lệch đánh giá lại tại ngày 31 tháng 12 năm 2020,numeric__Số dư chênh lệch đánh giá lại tại ngày 31 tháng 12 năm 2019,numeric__Đơn vị tính: VNDChênh lệch thuần điều chỉnh số kế toàn trong năm
1,1,1,Loại FVTPL,13.173.199.979.211,13.207.913.490.501,34.713.511.290,(240.047.362.392),274.760.873.682,,13173199979211.0,13207913490501.0,34713511290.0,-240047362392.0,274760873682.0
1,1,1,Cổ phiếu và chứng khoán khác niêm yếtHPG,1.482.733.518.17395.660.359.949,1.509.951.923.480103.497.375.450,27.218.405.3077.837.015.501,(227.916.543.827)3.981.800.122,255.134.949.1343.855.215.379,,1.4827335181739566e+23,1.5099519234801035e+24,2.7218405307783702e+20,,2.5513494913438555e+21
1,1,1,FPT,73.847.343.900,79.197.605.100,5.350.261.200,18.771.581.487,(13.421.320.287),,73847343900.0,79197605100.0,5350261200.0,18771581487.0,-13421320287.0
1,1,1,ELC,87.623.952.599,37.700.687.290,(49.923.265.309),(138.112.182.336),88.188.917.027,,87623952599.0,37700687290.0,-49923265309.0,-138112182336.0,88188917027.0
1,1,1,PLX,88.242.019.220,93.835.942.200,5.593.922.980,(28.600.563.330),34.194.486.310,,88242019220.0,93835942200.0,5593922980.0,-28600563330.0,34194486310.0
1,1,1,MWG,32.119.701.765,32.753.739.700,634.037.935,(62.139.621),696.177.556,,32119701765.0,32753739700.0,634037935.0,-62139621.0,696177556.0
1,1,1,OPC,169.857.155.480,203.169.116.500,33.311.961.020,(6.843.046.949),40.155.007.969,,169857155480.0,203169116500.0,33311961020.0,-6843046949.0,40155007969.0
1,1,1,Cổ phiếu và chứng khoán niêm yết khác,935.382.985.260,959.797.457.240,24.414.471.980,(77.051.993.200),101.466.465.180,,935382985260.0,959797457240.0,24414471980.0,-77051993200.0,101466465180.0
2,2,2,Cổ phiếu niêm yết cho hoạt động phòng ngửa rủi ro của chứng quyềnHPG,497.988.719.529119.366.528.685,525.040.743.600129.145.682.100,27.052.024.0719.779.153.415,341.099.527410.202.811,26.710.924.5449.368.950.604,,4.979887195291194e+23,5.250407436001292e+23,2.7052024071977917e+20,3.410995274102028e+17,2.6710924544936896e+20
2,2,2,FPT,23.445.299.072,25.143.917.700,1.698.618.628,3.035.474.304,(1.336.855.676),,23445299072.0,25143917700.0,1698618628.0,3035474304.0,-1336855676.0
2,2,2,VHM,73.445.353.414,78.661.550.000,5.216.196.586,(364.529.439),5.580.726.025,,73445353414.0,78661550000.0,5216196586.0,-364529439.0,5580726025.0
2,2,2,MBB,40.205.038.732,41.310.001.000,1.104.962.268,(1.195.119.186),2.300.081.454,,40205038732.0,41310001000.0,1104962268.0,-1195119186.0,2300081454.0
2,2,2,STB,56.953.396.377,59.450.144.000,2.496.747.623,,2.496.747.623,,56953396377.0,59450144000.0,2496747623.0,,2496747623.0
2,2,2,Cổ phiếu khác,184.573.103.249,191.329.448.800,6.756.345.551,(1.544.928.963),8.301.274.514,,184573103249.0,191329448800.0,6756345551.0,-1544928963.0,8301274514.0
